query_id,query,service_id,intent,region,device,reason,status
Q000072,обрезка деревьев,S4,commercial_research,Yaroslavl,desktop,commercial_head[S4-G02],pending
Q000073,обрезка деревьев цена,S4,transactional,Yaroslavl,desktop,price[S4-G02],pending
Q000074,обрезка кустарников,S4,commercial_research,Yaroslavl,desktop,commercial_head[S4-G03],pending
Q000075,обслуживание садов,S4,commercial_research,Yaroslavl,desktop,commercial_head[S4-G04],pending
Q000076,садовник на участок рыбинск,S4,commercial_research,Yaroslavl,desktop,commercial_head[S4-G05],pending
Q000077,сезонный уход за садом рыбинск,S4,commercial_research,Yaroslavl,desktop,commercial_head[S4-G06],pending
Q000078,уход за садом,S4,commercial_research,Yaroslavl,desktop,commercial_head[S4-G07],pending
Q000079,уход за садом цена,S4,transactional,Yaroslavl,desktop,price[S4-G07],pending
Q000080,вертикальная планировка участка рыбинск,S5,commercial_research,Yaroslavl,desktop,commercial_head[S5-G02],pending
Q000081,выравнивание участка,S5,commercial_research,Yaroslavl,desktop,commercial_head[S5-G03],pending
Q000082,выравнивание участка цена,S5,transactional,Yaroslavl,desktop,price[S5-G03],pending
Q000083,выравнивание участка ярославль,S5,commercial_research,Yaroslavl,desktop,yaroslavl_geo[S5-G03],pending
Q000084,выравнивание участка ярославль купить tehno ники ру,S5,product_only,Yaroslavl,desktop,clicked,pending
Q000085,выровнять участок на даче ярославль за пределами города tehno ники,S5,commercial_research,Yaroslavl,desktop,clicked,pending
Q000086,выровнять участок на даче ярославль минимальная цена техно ники,S5,transactional,Yaroslavl,desktop,clicked,pending
Q000087,выровнять участок на даче ярославль оформление заказа ник техно ооо,S5,commercial_research,Yaroslavl,desktop,turnkey_order[S5-G01],pending
Q000088,заказать выравнивание участка,S5,transactional,Yaroslavl,desktop,turnkey_order[S5-G03],pending
Q000089,заказать планировку участка,S5,transactional,Yaroslavl,desktop,turnkey_order[S5-G06],pending
Q000090,каким грунтом поднять участок,S5,commercial_research,Yaroslavl,desktop,commercial_head[S5-G07],pending
Q000091,планировка грунта,S5,commercial_research,Yaroslavl,desktop,commercial_head[S5-G04],pending
Q000092,планировка территории,S5,commercial_research,Yaroslavl,desktop,commercial_head[S5-G05],pending
Q000093,планировка территории цена,S5,transactional,Yaroslavl,desktop,price[S5-G05],pending
Q000094,планировка участка,S5,commercial_research,Yaroslavl,desktop,commercial_head[S5-G06],pending
Q000095,планировка участка,S5,commercial_research,Yaroslavl,mobile,mobile_head_check,pending
Q000096,планировка участка рыбинск,S5,commercial_research,Yaroslavl,desktop,clicked,pending
Q000097,планировка участка цена,S5,transactional,Yaroslavl,desktop,price[S5-G06],pending
Q000098,планировка участка ярославль,S5,commercial_research,Yaroslavl,desktop,clicked|commercial_head[S5-G01]|yaroslavl_geo[S5-G01]|yaroslavl_geo[S5-G06],pending
Q000099,рассчитать стоимость выравнивания участка 5 соток,S5,transactional,Yaroslavl,desktop,price[S5-G01],pending
Q000100,организация выполняющая установкой гравитационной подпорной стены ярославль,S6,commercial_research,Yaroslavl,desktop,clicked|commercial_head[S6-G01]|yaroslavl_geo[S6-G01],pending
Q000101,подпорная стенка из бетона,S6,commercial_research,Yaroslavl,desktop,commercial_head[S6-G02],pending
Q000102,подпорная стенка из блоков,S6,commercial_research,Yaroslavl,desktop,commercial_head[S6-G03],pending
Q000103,подпорная стенка из габионов,S6,commercial_research,Yaroslavl,desktop,commercial_head[S6-G04],pending
Q000104,подпорная стенка на участке,S6,commercial_research,Yaroslavl,desktop,commercial_head[S6-G05],pending
Q000105,строительство подпорной стенки рыбинск,S6,transactional,Yaroslavl,desktop,commercial_head[S6-G06],pending
Q000106,устройство подпорной стенки,S6,transactional,Yaroslavl,desktop,commercial_head[S6-G07],pending
Q000107,ландшафтное освещение,S7,commercial_research,Yaroslavl,desktop,commercial_head[S7-G02],pending
Q000108,ландшафтное освещение ярославль,S7,commercial_research,Yaroslavl,desktop,yaroslavl_geo[S7-G02],pending
Q000109,монтаж освещения участка рыбинск,S7,transactional,Yaroslavl,desktop,commercial_head[S7-G03],pending
Q000110,освещение участка,S7,commercial_research,Yaroslavl,desktop,commercial_head[S7-G04],pending
Q000111,подсветка дорожек,S7,commercial_research,Yaroslavl,desktop,commercial_head[S7-G05],pending
Q000112,подсветка участка,S7,commercial_research,Yaroslavl,desktop,commercial_head[S7-G06],pending
Q000113,уличное освещение рыбинский район,S7,commercial_research,Yaroslavl,desktop,commercial_head[S7-G01],pending
Q000114,уличное освещение частного дома рыбинск,S7,commercial_research,Yaroslavl,desktop,commercial_head[S7-G07],pending
Q000115,въезд на участок,S8,commercial_research,Yaroslavl,desktop,commercial_head[S8-G02],pending
Q000116,въезд на участок цена,S8,transactional,Yaroslavl,desktop,price[S8-G02],pending
Q000117,въезд через канаву,S8,commercial_research,Yaroslavl,desktop,commercial_head[S8-G03],pending
Q000118,въезд через канаву,S8,commercial_research,Yaroslavl,mobile,mobile_head_check,pending
Q000119,въезд через канаву под ключ,S8,transactional,Yaroslavl,desktop,turnkey_order[S8-G03],pending
Q000120,въезд через канаву цена,S8,transactional,Yaroslavl,desktop,price[S8-G03],pending
Q000121,заезд на участок,S8,commercial_research,Yaroslavl,desktop,commercial_head[S8-G04],pending
Q000122,заезд на участок под ключ,S8,transactional,Yaroslavl,desktop,turnkey_order[S8-G04],pending
Q000123,заезд на участок рыбинск авито предложения,S8,commercial_research,Yaroslavl,desktop,clicked,pending
Q000124,заезд на участок цена,S8,transactional,Yaroslavl,desktop,price[S8-G04],pending
Q000125,заезд на участок через канаву в тутаеве,S8,commercial_research,Yaroslavl,desktop,clicked,pending
Q000126,заезд на участок через канаву под ключ,S8,transactional,Yaroslavl,desktop,turnkey_order[S8-G01]|turnkey_order[S8-G05],pending
Q000127,заезд на участок через канаву под ключ рыбинск,S8,transactional,Yaroslavl,desktop,clicked,pending
Q000128,заезд на участок через канаву под ключ тутаев,S8,transactional,Yaroslavl,desktop,clicked,pending
Q000129,заезд на участок через канаву под ключ ярославль,S8,transactional,Yaroslavl,desktop,clicked|yaroslavl_geo[S8-G01],pending
Q000130,заезд на участок через канаву тутаев,S8,commercial_research,Yaroslavl,desktop,clicked,pending
Q000131,заезд на участок через канаву цена,S8,transactional,Yaroslavl,desktop,price[S8-G01]|price[S8-G05],pending
Q000132,заезд через канаву,S8,commercial_research,Yaroslavl,desktop,commercial_head[S8-G05],pending
Q000133,заезд через канаву на участок,S8,commercial_research,Yaroslavl,desktop,clicked,pending
Q000134,заезд через канаву тутаев,S8,commercial_research,Yaroslavl,desktop,commercial_head[S8-G01],pending
Q000135,заказать въезд на участок,S8,transactional,Yaroslavl,desktop,turnkey_order[S8-G02],pending
Q000136,купить обычный мостик через канаву в рыбинске,S8,product_only,Yaroslavl,desktop,clicked,pending
Q000137,найти плиту через канаву установить для проезда телег и велосипедов в рыбинске,S8,commercial_research,Yaroslavl,desktop,clicked,pending
Q000138,обустройство въезда на участок рыбинск,S8,commercial_research,Yaroslavl,desktop,commercial_head[S8-G06],pending
Q000139,труба в канаву для заезда,S8,commercial_research,Yaroslavl,desktop,commercial_head[S8-G07],pending
Q000140,трубу в канаву уложить в рыбинске,S8,commercial_research,Yaroslavl,desktop,clicked,pending
Q000141,ярославская область сделать въезд в канаву,S8,commercial_research,Yaroslavl,desktop,clicked,pending
