candidate_key,service_id,query,intent,cluster_id,representative_query_ids,current_url,target_url,url_action,assignment_method,validation_status,review_status,reviewer,rationale
S1|благоустройство в рыбинске|commercial_research,S1,благоустройство в рыбинске,commercial_research,SERP-BA00FDE71D08,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,direct_serp_representative,serp_direct_reviewed,reviewed,codex_task6,direct SERP representative retained within its approved service owner; existing URL retained and no new URL approved
S1|благоустройство дачного участка в ярославле|commercial_research,S1,благоустройство дачного участка в ярославле,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство дачного участка под ключ|transactional,S1,благоустройство дачного участка под ключ,transactional,SERP-501565B73C13,Q000004|Q000013|Q000026|Q000032|Q000033|Q000035,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,direct_serp_representative,serp_direct_reviewed,reviewed,codex_task6,direct SERP representative retained within its approved service owner; existing URL retained and no new URL approved
S1|благоустройство двора рыбинск ярославская область|commercial_research,S1,благоустройство двора рыбинск ярославская область,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство за забором участка ярославская область|commercial_research,S1,благоустройство за забором участка ярославская область,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство за забором ярославская область|commercial_research,S1,благоустройство за забором ярославская область,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство записбо услуги|transactional,S1,благоустройство записбо услуги,transactional,HOLD-81D00C204EE9,Q000004|Q000013|Q000026|Q000032|Q000033|Q000035,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство земельного участка и территории по ярославской области|commercial_research,S1,благоустройство земельного участка и территории по ярославской области,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство земельных участков ярославская область|commercial_research,S1,благоустройство земельных участков ярославская область,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство калькулятор|commercial_research,S1,благоустройство калькулятор,commercial_research,SPECIAL-CALCULATOR,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/kalkuljator-uslug/,keep_special_owner,explicit_special_owner,existing_owner_evidence,reviewed,policy_calculator_owner,"existing calculator owner supported by Q000012,Q000026,Q000031,Q000070"
S1|благоустройство ландшафта рыбинск|commercial_research,S1,благоустройство ландшафта рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство озеленение|commercial_research,S1,благоустройство озеленение,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство под ключ|transactional,S1,благоустройство под ключ,transactional,HOLD-81D00C204EE9,Q000004|Q000013|Q000026|Q000032|Q000033|Q000035,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство посчитать|commercial_research,S1,благоустройство посчитать,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство рыбинск|commercial_research,S1,благоустройство рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство рыбинск сайт|commercial_research,S1,благоустройство рыбинск сайт,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство рыбинск ярославская область|commercial_research,S1,благоустройство рыбинск ярославская область,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство рыбинский район|commercial_research,S1,благоустройство рыбинский район,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство садовых участков рыбинск|commercial_research,S1,благоустройство садовых участков рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство своего дома рыбинск|commercial_research,S1,благоустройство своего дома рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство территории перед участком|commercial_research,S1,благоустройство территории перед участком,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство территории подрядчик|commercial_research,S1,благоустройство территории подрядчик,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство территории рыбинск|commercial_research,S1,благоустройство территории рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство территории ярославль|commercial_research,S1,благоустройство территории ярославль,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство территорий рыбинск|commercial_research,S1,благоустройство территорий рыбинск,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство услуги в черноземье|transactional,S1,благоустройство услуги в черноземье,transactional,HOLD-81D00C204EE9,Q000004|Q000013|Q000026|Q000032|Q000033|Q000035,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство участка|commercial_research,S1,благоустройство участка,commercial_research,SERP-7A77EA65DFCA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,direct_serp_representative,serp_direct_reviewed,reviewed,codex_task6,direct SERP representative retained within its approved service owner; existing URL retained and no new URL approved
S1|благоустройство участка в рыбинске|commercial_research,S1,благоустройство участка в рыбинске,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство участка в ярославской области|commercial_research,S1,благоустройство участка в ярославской области,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство участка дома проекты|commercial_research,S1,благоустройство участка дома проекты,commercial_research,HOLD-94EF07DDD02E,Q000028|Q000030,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство участка участка ярославль|commercial_research,S1,благоустройство участка участка ярославль,commercial_research,SERP-7A77EA65DFCA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,direct_serp_representative,serp_direct_reviewed,reviewed,codex_task6,direct SERP representative retained within its approved service owner; existing URL retained and no new URL approved
S1|благоустройство участка ярославль|commercial_research,S1,благоустройство участка ярославль,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство участка ярославская область|commercial_research,S1,благоустройство участка ярославская область,commercial_research,SERP-7A77EA65DFCA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,direct_serp_representative,serp_direct_reviewed,reviewed,codex_task6,direct SERP representative retained within its approved service owner; existing URL retained and no new URL approved
S1|благоустройство участков в частном доме в ярославле|commercial_research,S1,благоустройство участков в частном доме в ярославле,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство участков ярославль|commercial_research,S1,благоустройство участков ярославль,commercial_research,SERP-7A77EA65DFCA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,direct_serp_representative,serp_direct_reviewed,reviewed,codex_task6,direct SERP representative retained within its approved service owner; existing URL retained and no new URL approved
S1|благоустройство частной территории услуги|transactional,S1,благоустройство частной территории услуги,transactional,HOLD-81D00C204EE9,Q000004|Q000013|Q000026|Q000032|Q000033|Q000035,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство ярославль|commercial_research,S1,благоустройство ярославль,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоустройство ярославль на ыарстик76 ру|commercial_research,S1,благоустройство ярославль на ыарстик76 ру,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|благоучтройство дачного участка в ярославской области|commercial_research,S1,благоучтройство дачного участка в ярославской области,commercial_research,SERP-FCAB83A5E3BE,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,direct_serp_representative,serp_direct_reviewed,reviewed,codex_task6,direct SERP representative retained within its approved service owner; existing URL retained and no new URL approved
S1|варианты дизайна участка ландшафтный дизайн|commercial_research,S1,варианты дизайна участка ландшафтный дизайн,commercial_research,HOLD-9DDC73BD2CD3,Q000022|Q000023|Q000024|Q000025,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|варианты ландшафтного дизайна дачного участка|commercial_research,S1,варианты ландшафтного дизайна дачного участка,commercial_research,HOLD-9DDC73BD2CD3,Q000022|Q000023|Q000024|Q000025,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|виды ландшафтного дизайна участка|commercial_research,S1,виды ландшафтного дизайна участка,commercial_research,HOLD-9DDC73BD2CD3,Q000022|Q000023|Q000024|Q000025,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|входная зона ландшафтный дизайн участка|commercial_research,S1,входная зона ландшафтный дизайн участка,commercial_research,HOLD-9DDC73BD2CD3,Q000022|Q000023|Q000024|Q000025,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|выполним работы по благоустройству территории|commercial_research,S1,выполним работы по благоустройству территории,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|выполним работы по благоустройству территории в ярославле|commercial_research,S1,выполним работы по благоустройству территории в ярославле,commercial_research,HOLD-07E2BACAC1EA,Q000003|Q000005|Q000006|Q000007|Q000008|Q000009|Q000012|Q000015|Q000016|Q000017|Q000019|Q000020|Q000021|Q000027|Q000029,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
S1|грядки на участке ландшафтный дизайн|commercial_research,S1,грядки на участке ландшафтный дизайн,commercial_research,HOLD-9DDC73BD2CD3,Q000022|Q000023|Q000024|Q000025,https://exp76.ru/services/landshaftnoe-proektirovanie/,https://exp76.ru/services/landshaftnoe-proektirovanie/,keep_enhance,current_owner_hold,manual_projection_pending,pending,,current service boundary retained; no unsupported child page or lexical merge created; existing URL retained and no new URL approved
