query_normalized,query,service_id,destination_id,page_role,assignment_status,conflicting_destination_ids,source_query_ids,source_seeds
укладка рулонного газона под ключ,укладка рулонного газона под ключ,S2,S2-CHILD-ROLL,child_service,candidate,,YS000516,укладка рулонного газона под ключ
укладка рулонного газона под ключ цена,укладка рулонного газона под ключ цена,S2,S2-CHILD-ROLL,child_service,candidate,,YS000516,укладка рулонного газона под ключ
укладка рулонного газона под ключ цена за м2,укладка рулонного газона под ключ цена за м2,S2,S2-CHILD-ROLL,child_service,candidate,,YS000516,укладка рулонного газона под ключ
газон посевной под ключ,газон посевной под ключ,S2,S2-CHILD-SEED,child_service,candidate,,YS000517,посевной газон под ключ
посев газона под ключ,посев газона под ключ,S2,S2-CHILD-SEED,child_service,candidate,,YS000518,устройство посевного газона под ключ
посевной газон под ключ,посевной газон под ключ,S2,S2-CHILD-SEED,child_service,candidate,,YS000517,посевной газон под ключ
посевной газон под ключ greenhistory,посевной газон под ключ greenhistory,S2,S2-CHILD-SEED,child_service,candidate,,YS000517,посевной газон под ключ
посевной газон под ключ цена,посевной газон под ключ цена,S2,S2-CHILD-SEED,child_service,candidate,,YS000517,посевной газон под ключ
подготовка грунта под газон,подготовка грунта под газон,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка грунта под рулонный газон,подготовка грунта под рулонный газон,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка земли под газон,подготовка земли под газон,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка земли под газон на участке,подготовка земли под газон на участке,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка земли под газон на участке своими,подготовка земли под газон на участке своими,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка земли под газон на участке своими руками,подготовка земли под газон на участке своими руками,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка земли под газон на участке своими руками пошагово,подготовка земли под газон на участке своими руками пошагово,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка основания под газон,подготовка основания под газон,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка основания под искусственный газон,подготовка основания под искусственный газон,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
подготовка площадки под газон,подготовка площадки под газон,S2,S2-CHILD-SOIL,child_service,candidate,,YS000519,подготовка грунта под газон
как сажать семена хвойных деревьев в домашних условиях,как сажать семена хвойных деревьев в домашних условиях,S3,S3-CHILD-CONIFERS,child_service,candidate,,YS000525,посадка хвойных деревьев
посадка хвойных деревьев,посадка хвойных деревьев,S3,S3-CHILD-CONIFERS,child_service,candidate,,YS000525,посадка хвойных деревьев
посадка хвойных деревьев весной,посадка хвойных деревьев весной,S3,S3-CHILD-CONIFERS,child_service,candidate,,YS000525,посадка хвойных деревьев
посадка хвойных деревьев на участке,посадка хвойных деревьев на участке,S3,S3-CHILD-CONIFERS,child_service,candidate,,YS000525,посадка хвойных деревьев
посадка хвойных деревьев на участке правила,посадка хвойных деревьев на участке правила,S3,S3-CHILD-CONIFERS,child_service,candidate,,YS000525,посадка хвойных деревьев
посадка хвойных деревьев на участке правила и нормативы,посадка хвойных деревьев на участке правила и нормативы,S3,S3-CHILD-CONIFERS,child_service,candidate,,YS000525,посадка хвойных деревьев
посадка плодовых деревьев,посадка плодовых деревьев,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев в мае,посадка плодовых деревьев в мае,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев весной,посадка плодовых деревьев весной,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев весной саженцев правильная,посадка плодовых деревьев весной саженцев правильная,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев летом,посадка плодовых деревьев летом,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев на участке,посадка плодовых деревьев на участке,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев на участке правильная,посадка плодовых деревьев на участке правильная,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев на участке схема,посадка плодовых деревьев на участке схема,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев осенью,посадка плодовых деревьев осенью,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка плодовых деревьев расстояние между деревьями,посадка плодовых деревьев расстояние между деревьями,S3,S3-CHILD-FRUIT,child_service,candidate,,YS000523,посадка плодовых деревьев
посадка бирючины для живой изгороди,посадка бирючины для живой изгороди,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка живой изгороди,посадка живой изгороди,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка живой изгороди fangarden,посадка живой изгороди fangarden,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка живой изгороди одно из лучших,посадка живой изгороди одно из лучших,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка живой изгороди одно из лучших решений,посадка живой изгороди одно из лучших решений,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка живой изгороди одно из лучших решений егэ,посадка живой изгороди одно из лучших решений егэ,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка кизильника для живой изгороди,посадка кизильника для живой изгороди,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка пузыреплодника для живой изгороди расстояние между кустами,посадка пузыреплодника для живой изгороди расстояние между кустами,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка туи брабант для живой изгороди,посадка туи брабант для живой изгороди,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка туи смарагд для живой изгороди,посадка туи смарагд для живой изгороди,S3,S3-CHILD-HEDGE,child_service,candidate,,YS000531,посадка живой изгороди
посадка крупномеров,посадка крупномеров,S3,S3-CHILD-LARGE,child_service,candidate,,YS000529,посадка крупномеров
посадка крупномеров fangarden,посадка крупномеров fangarden,S3,S3-CHILD-LARGE,child_service,candidate,,YS000529,посадка крупномеров
посадка крупномеров в подмосковье,посадка крупномеров в подмосковье,S3,S3-CHILD-LARGE,child_service,candidate,,YS000529,посадка крупномеров
посадка крупномеров цена,посадка крупномеров цена,S3,S3-CHILD-LARGE,child_service,candidate,,YS000529|YS000530,посадка крупномеров|посадка крупномеров цена
посадка кустарников,посадка кустарников,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников в апреле,посадка кустарников в апреле,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников весной,посадка кустарников весной,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников гэсн,посадка кустарников гэсн,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников на участке,посадка кустарников на участке,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников на участке соседство и правила,посадка кустарников на участке соседство и правила,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников осенью,посадка кустарников осенью,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников расценка в смете,посадка кустарников расценка в смете,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников цена,посадка кустарников цена,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
посадка кустарников-саженцев в живую изгородь однорядную и вьющихся растений,посадка кустарников-саженцев в живую изгородь однорядную и вьющихся растений,S3,S3-CHILD-SHRUBS,child_service,candidate,,YS000527,посадка кустарников
уход за клумбами и цветниками,уход за клумбами и цветниками,S4,S4-CHILD-FLOWERBEDS,child_service,candidate,,YS000539,уход за цветниками и клумбами
вторая обработка сада весной от болезней и вредителей,вторая обработка сада весной от болезней и вредителей,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обработка сада весной от болезней и вредителей ранней весной,обработка сада весной от болезней и вредителей ранней весной,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обработка сада мочевиной весной от вредителей и болезней,обработка сада мочевиной весной от вредителей и болезней,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обработка сада от болезней и вредителей,обработка сада от болезней и вредителей,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обработка сада от болезней и вредителей весной,обработка сада от болезней и вредителей весной,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обработка сада от болезней и вредителей после цветения,обработка сада от болезней и вредителей после цветения,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обработка сада от болезней и вредителей ранней весной,обработка сада от болезней и вредителей ранней весной,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обработка сада ранней весной от болезней и вредителей чем,обработка сада ранней весной от болезней и вредителей чем,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
осенняя обработка сада от болезней и вредителей,осенняя обработка сада от болезней и вредителей,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
скор обработка сада весной от болезней и вредителей,скор обработка сада весной от болезней и вредителей,S4,S4-CHILD-PEST,child_service,candidate,,YS000541,обработка сада от болезней и вредителей
обрезка деревьев в марте,обрезка деревьев в марте,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев в марте 2026,обрезка деревьев в марте 2026,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев весной для начинающих,обрезка деревьев весной для начинающих,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев весной сроки,обрезка деревьев весной сроки,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев зимой,обрезка деревьев зимой,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев летом,обрезка деревьев летом,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев осенью,обрезка деревьев осенью,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев плодовых,обрезка деревьев плодовых,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев плодовых весной,обрезка деревьев плодовых весной,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
обрезка деревьев плодовых весной для начинающих,обрезка деревьев плодовых весной для начинающих,S4,S4-CHILD-TREE-PRUNING,child_service,candidate,,YS000533,обрезка деревьев
культивация земельного участка,культивация земельного участка,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
культивация участка,культивация участка,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
культивация участка истра,культивация участка истра,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
культивация участка под газон,культивация участка под газон,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
культивация участка цена за сотку,культивация участка цена за сотку,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
культивация участка цена за сотку в московской области,культивация участка цена за сотку в московской области,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
культивация участка что это,культивация участка что это,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
культивация участка это,культивация участка это,S5,S5-CHILD-CULTIVATION,child_service,candidate,,YS000551,культивация участка
выкорчевка пней трактором цена и выравнивание участка,выкорчевка пней трактором цена и выравнивание участка,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание земельного участка спецтехникой цена,выравнивание земельного участка спецтехникой цена,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка мотоблоком,выравнивание участка мотоблоком,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка под газон,выравнивание участка под газон,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка под газон своими руками,выравнивание участка под газон своими руками,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка под строительство дома,выравнивание участка под строительство дома,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка с уклоном,выравнивание участка с уклоном,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка своими руками,выравнивание участка своими руками,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка своими руками с чего начать,выравнивание участка своими руками с чего начать,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка трактором,выравнивание участка трактором,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
выравнивание участка трактором цена за сотку,выравнивание участка трактором цена за сотку,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка цена,выравнивание участка цена,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543|YS000544,выравнивание участка|выравнивание участка цена
выравнивание участка цена за сотку,выравнивание участка цена за сотку,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка цена за сотку волоколамский район,выравнивание участка цена за сотку волоколамский район,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка цена за сотку московская,выравнивание участка цена за сотку московская,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка цена за сотку московская область,выравнивание участка цена за сотку московская область,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка цена за сотку московская область трактором,выравнивание участка цена за сотку московская область трактором,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка цена за сотку спб,выравнивание участка цена за сотку спб,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000544,выравнивание участка цена
выравнивание участка ярославль,выравнивание участка ярославль,S5,S5-CHILD-LEVEL,child_service,candidate,,YS000543,выравнивание участка
корчевание пней на участке,корчевание пней на участке,S5,S5-CHILD-STUMPS,child_service,candidate,,YS000553,корчевание пней на участке
корчевание пней на участке своими руками,корчевание пней на участке своими руками,S5,S5-CHILD-STUMPS,child_service,candidate,,YS000553,корчевание пней на участке
корчевание пней на участке сколько стоит,корчевание пней на участке сколько стоит,S5,S5-CHILD-STUMPS,child_service,candidate,,YS000553,корчевание пней на участке
корчевание пней на участке трактором,корчевание пней на участке трактором,S5,S5-CHILD-STUMPS,child_service,candidate,,YS000553,корчевание пней на участке
корчевание пней на участке цена,корчевание пней на участке цена,S5,S5-CHILD-STUMPS,child_service,candidate,,YS000553,корчевание пней на участке
корчевание пней на участке цена московская область,корчевание пней на участке цена московская область,S5,S5-CHILD-STUMPS,child_service,candidate,,YS000553,корчевание пней на участке
вертикальная планировка участка цена,вертикальная планировка участка цена,S5,S5-CHILD-VERTICAL,child_service,candidate,,YS000546,вертикальная планировка участка цена
бетонные подпорные стенки,бетонные подпорные стенки,S6,S6-CHILD-CONCRETE,child_service,candidate,,YS000555,бетонные подпорные стенки
бетонные подпорные стены,бетонные подпорные стены,S6,S6-CHILD-CONCRETE,child_service,candidate,,YS000555,бетонные подпорные стенки
сборные железобетонные и бетонные подпорные стены проектируются из бетона проектного класса,сборные железобетонные и бетонные подпорные стены проектируются из бетона проектного класса,S6,S6-CHILD-CONCRETE,child_service,candidate,,YS000555,бетонные подпорные стенки
устройство бетонной подпорной стенки,устройство бетонной подпорной стенки,S6,S6-CHILD-CONCRETE,child_service,candidate,,YS000556,устройство бетонной подпорной стенки
устройство подпорной монолитной железобетонной стенки,устройство подпорной монолитной железобетонной стенки,S6,S6-CHILD-CONCRETE,child_service,candidate,,YS000556,устройство бетонной подпорной стенки
деревянные подпорные стенки,деревянные подпорные стенки,S6,S6-CHILD-WOOD,child_service,candidate,,YS000559,деревянные подпорные стенки
архитектурная подсветка частного дома,архитектурная подсветка частного дома,S7,S7-CHILD-ARCHITECTURAL,child_service,candidate,,YS000567,архитектурная подсветка частного дома
проект освещения участка,проект освещения участка,S7,S7-CHILD-DESIGN,child_service,candidate,,YS000561,проект освещения участка
проект освещения участка загородного дома,проект освещения участка загородного дома,S7,S7-CHILD-DESIGN,child_service,candidate,,YS000561,проект освещения участка
новогоднее освещение загородного дома,новогоднее освещение загородного дома,S7,S7-CHILD-HOLIDAY,child_service,candidate,,YS000569,новогоднее освещение загородного дома
