destination_id,service_id,page_role,title,slug,query,parent_hub,owner_wp_id,owner_current_url,current_url,target_url,url_action,current_wp_id,current_post_type,target_template,business_evidence,semantic_evidence,included_intent,excluded_primary_intents,boundary,publication_status
S11-HUB,S11,hub,Системы туманообразования,sistemy-tumanoobrazovaniya,система туманообразования монтаж ярославль,,6922,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,reuse,6922,page,servicepost.php,business_source:wp-rest/pages/6922#content[chastnye-uchastki+otkrytye-ploshhadki+restorany+oranzherei-i-teplicy],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001021|YS001022;status=queued_not_collected,"монтаж систем высокого давления для подтверждённых частных, коммерческих и тепличных сценариев",автополив|внутреннее промышленное увлажнение|гарантированный агрономический результат|гарантированное снижение температуры на 15 градусов,"Включено: монтаж систем высокого давления для подтверждённых частных, коммерческих и тепличных сценариев. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",semantic_collection_queued
S11-CHILD-TERRACE-VERANDA,S11,child_service,Туманообразование для террасы и веранды,tumanoobrazovanie-dlya-terrasy-i-verandy,система туманообразования для террасы ярославль,S11-HUB,6922,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,,https://exp76.ru/tumanoobrazovanie-dlya-terrasy-i-verandy/,create,,,newservicepost.php,business_source:wp-rest/pages/6922#content[chastnye-territorii+otkrytye-ploshhadki],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001023|YS001024;status=queued_not_collected,монтаж туманообразования в частной открытой зоне отдыха,автополив|внутреннее промышленное увлажнение|гарантированный агрономический результат|гарантированное снижение температуры на 15 градусов,"Включено: монтаж туманообразования в частной открытой зоне отдыха. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",semantic_collection_queued
S11-CHILD-CAFE-OUTDOOR,S11,child_service,Туманообразование для кафе и открытых площадок,tumanoobrazovanie-dlya-kafe-i-letnih-ploshchadok,система туманообразования для кафе ярославль,S11-HUB,6922,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,,https://exp76.ru/tumanoobrazovanie-dlya-kafe-i-letnih-ploshchadok/,create,,,newservicepost.php,business_source:wp-rest/pages/6922#content[kafe-restorany+otkrytye-ploshhadki],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001025|YS001026;status=queued_not_collected,монтаж туманообразования на летней коммерческой площадке,автополив|внутреннее промышленное увлажнение|гарантированный агрономический результат|гарантированное снижение температуры на 15 градусов,"Включено: монтаж туманообразования на летней коммерческой площадке. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",semantic_collection_queued
S11-CHILD-GREENHOUSE,S11,child_service,Туманообразование для теплиц и оранжерей,tumanoobrazovanie-dlya-teplic-i-oranzherej,система туманообразования для теплицы ярославль,S11-HUB,6922,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,,https://exp76.ru/tumanoobrazovanie-dlya-teplic-i-oranzherej/,create,,,newservicepost.php,business_source:wp-rest/pages/6922#content[oranzherei-i-teplicy],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001027|YS001028;status=queued_not_collected,монтаж туманообразования для микроклимата растений,автополив|внутреннее промышленное увлажнение|гарантированный агрономический результат|гарантированное снижение температуры на 15 градусов,"Включено: монтаж туманообразования для микроклимата растений. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",semantic_collection_queued
S12-HUB,S12,hub,Фундамент на железобетонных сваях,fundament-na-zhelezobetonnykh-svajakh,фундамент на железобетонных сваях ярославль,,9138,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,reuse,9138,page,servicepost.php,business_source:wp-rest/pages/9138#content[zabivnye-zhb-svai+betonnye-sterzhni-kvadratnogo-sechenija],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001029|YS001030;status=queued_not_collected,устройство фундамента на заявленных забивных железобетонных сваях без неподтверждённых конструктивных обещаний,винтовые сваи|буронабивные сваи|неподтверждённые ростверк и геология|раздельная публикация object-variants без SERP overlap-check,"Включено: устройство фундамента на заявленных забивных железобетонных сваях без неподтверждённых конструктивных обещаний. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",semantic_collection_queued
S12-CHILD-DRIVING,S12,child_service,Забивка и монтаж железобетонных свай,zabivka-zhelezobetonnyh-svaj,забивка железобетонных свай ярославль,S12-HUB,9138,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,,https://exp76.ru/zabivka-zhelezobetonnyh-svaj/,create,,,newservicepost.php,business_source:wp-rest/pages/9138#content[zabivnye-zhb-svai+kvadratnoe-sechenie],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001031|YS001032;status=queued_not_collected,забивка и монтаж железобетонных свай,винтовые сваи|буронабивные сваи|неподтверждённые ростверк и геология|раздельная публикация object-variants без SERP overlap-check,"Включено: забивка и монтаж железобетонных свай. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",semantic_collection_queued
S12-CHILD-PRIVATE-HOUSE,S12,child_service,Фундамент на ЖБ сваях для частного дома,fundament-na-zhb-svayah-dlya-chastnogo-doma,фундамент на железобетонных сваях для частного дома ярославль,S12-HUB,9138,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,,https://exp76.ru/fundament-na-zhb-svayah-dlya-chastnogo-doma/,create,,,newservicepost.php,business_source:wp-rest/pages/9138#content[generic-fundament-na-zhelezobetonnykh-svajakh],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001033|YS001034;status=queued_not_collected,фундамент на железобетонных сваях для частного дома,винтовые сваи|буронабивные сваи|неподтверждённые ростверк и геология|раздельная публикация object-variants без SERP overlap-check,"Включено: фундамент на железобетонных сваях для частного дома. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",semantic_collection_queued
S12-CHILD-BATHHOUSE,S12,child_service,Фундамент на ЖБ сваях для бани,fundament-na-zhb-svayah-dlya-bani,фундамент на железобетонных сваях для бани ярославль,S12-HUB,9138,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,,https://exp76.ru/fundament-na-zhb-svayah-dlya-bani/,create,,,newservicepost.php,business_source:wp-rest/pages/9138#content[generic-fundament-na-zhelezobetonnykh-svajakh],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001035|YS001036;status=queued_not_collected,фундамент на железобетонных сваях для бани,винтовые сваи|буронабивные сваи|неподтверждённые ростверк и геология|раздельная публикация object-variants без SERP overlap-check,"Включено: фундамент на железобетонных сваях для бани. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",semantic_collection_queued
S13-HUB,S13,hub,Навесы из металла,navesy-iz-metalla,изготовление и монтаж навесов из металла ярославль,,9312,https://exp76.ru/services/navesy-iz-metalla/,https://exp76.ru/services/navesy-iz-metalla/,https://exp76.ru/services/navesy-iz-metalla/,reuse,9312,page,servicepost.php,business_source:wp-rest/pages/9312#content[proektirovanie+izgotovlenie+montazh-legkih-metallokonstrukcij],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001037|YS001038;status=queued_not_collected,"проектирование, изготовление и монтаж перечисленных live-страницей лёгких металлических навесов","гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии","Включено: проектирование, изготовление и монтаж перечисленных live-страницей лёгких металлических навесов. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",semantic_collection_queued
S13-CHILD-CARPORT,S13,child_service,Навес для автомобиля,naves-dlya-avtomobilya,навес для автомобиля ярославль с установкой,S13-HUB,9312,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-dlya-avtomobilya/,create,,,newservicepost.php,business_source:wp-rest/pages/9312#content[navesy-dlja-avtomobilja],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001039|YS001040;status=queued_not_collected,изготовление и монтаж металлического навеса для автомобиля,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии","Включено: изготовление и монтаж металлического навеса для автомобиля. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",semantic_collection_queued
S13-CHILD-TERRACE,S13,child_service,Навес для террасы и веранды,naves-dlya-terrasy-i-verandy,навес для террасы ярославль с установкой,S13-HUB,9312,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-dlya-terrasy-i-verandy/,create,,,newservicepost.php,business_source:wp-rest/pages/9312#content[verandy-terrasy+dachnye-navesy],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001041|YS001042;status=queued_not_collected,изготовление и монтаж навеса для террасы или веранды,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии","Включено: изготовление и монтаж навеса для террасы или веранды. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",semantic_collection_queued
S13-CHILD-BARBECUE,S13,child_service,Навес для зоны барбекю,naves-dlya-zony-barbekyu,навес для зоны барбекю ярославль,S13-HUB,9312,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-dlya-zony-barbekyu/,create,,,newservicepost.php,business_source:wp-rest/pages/9312#content[navesy-dlja-barbekju],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001043|YS001044;status=queued_not_collected,изготовление и монтаж навеса над зоной барбекю,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии","Включено: изготовление и монтаж навеса над зоной барбекю. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",semantic_collection_queued
S13-CHILD-POLYCARBONATE-HOME,S13,child_service,Навес из поликарбоната к дому,naves-iz-polikarbonata-k-domu,навес из поликарбоната к дому ярославль,S13-HUB,9312,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/naves-iz-polikarbonata-k-domu/,create,,,newservicepost.php,business_source:wp-rest/pages/9312#content[pristrojki-iz-polikarbonata],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001045|YS001046;status=queued_not_collected,изготовление лёгкого навеса из поликарбоната к дому,"гараж и парковочная площадка|капитальная пристройка|печной комплекс|неподтверждённые сроки, бренды и гарантии","Включено: изготовление лёгкого навеса из поликарбоната к дому. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",semantic_collection_queued
S14-HUB,S14,hub,"Камины, печи и барбекю",kaminy-pechi-barbekju,строительство каминов печей и барбекю ярославль,,9775,https://exp76.ru/services/kaminy-pechi-barbekju/,https://exp76.ru/services/kaminy-pechi-barbekju/,https://exp76.ru/services/kaminy-pechi-barbekju/,reuse,9775,page,servicepost.php,business_source:wp-rest/pages/9775#content[kaminy+otopitelnye-pechi+barbekju-kompleksy+mangaly],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001047|YS001048;status=queued_not_collected,"кладка заявленных каминов, отопительных печей и стационарных уличных печных комплексов",продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,"Включено: кладка заявленных каминов, отопительных печей и стационарных уличных печных комплексов. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",semantic_collection_queued
S14-CHILD-FIREPLACE,S14,child_service,Строительство камина,stroitelstvo-kamina,строительство камина ярославль,S14-HUB,9775,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/stroitelstvo-kamina/,create,,,newservicepost.php,business_source:wp-rest/pages/9775#content[kaminy],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001049|YS001050;status=queued_not_collected,строительство кладочного камина,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,"Включено: строительство кладочного камина. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",semantic_collection_queued
S14-CHILD-HEATING-STOVE,S14,child_service,Кладка отопительной печи,kladka-otopitelnoj-pechi,кладка отопительной печи ярославль,S14-HUB,9775,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/kladka-otopitelnoj-pechi/,create,,,newservicepost.php,business_source:wp-rest/pages/9775#content[otopitelnye-pechi],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001051|YS001052;status=queued_not_collected,кладка отопительной печи,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,"Включено: кладка отопительной печи. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",semantic_collection_queued
S14-CHILD-BARBECUE,S14,child_service,Барбекю-комплекс под ключ,barbekyu-kompleks-pod-klyuch,барбекю комплекс под ключ ярославль,S14-HUB,9775,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/barbekyu-kompleks-pod-klyuch/,create,,,newservicepost.php,business_source:wp-rest/pages/9775#content[barbekju-kompleksy+grili],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001053|YS001054;status=queued_not_collected,строительство стационарного барбекю-комплекса,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,"Включено: строительство стационарного барбекю-комплекса. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",semantic_collection_queued
S14-CHILD-BRICK-GRILL,S14,child_service,Кирпичный мангал,kirpichnyj-mangal,кладка кирпичного мангала ярославль,S14-HUB,9775,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/kirpichnyj-mangal/,create,,,newservicepost.php,business_source:wp-rest/pages/9775#content[mangaly+kirpichnaja-kladka],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001055|YS001056;status=queued_not_collected,кладка стационарного кирпичного мангала,продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,"Включено: кладка стационарного кирпичного мангала. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",semantic_collection_queued
S14-CHILD-CAULDRON-SMOKEHOUSE,S14,child_service,Печь с казаном и коптильней,pech-s-kazanom-i-koptilnej,печь с казаном и коптильней ярославль,S14-HUB,9775,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/pech-s-kazanom-i-koptilnej/,create,,,newservicepost.php,business_source:wp-rest/pages/9775#content[pech-pod-kazan+koptilnja],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001057|YS001058;status=queued_not_collected,"индивидуальная комплектация печного комплекса, не магазин оборудования",продажа готового печного оборудования|котлы и отопительное оборудование|продажа переносных мангалов|металлический навес|неподтверждённые технические и гарантийные обещания,"Включено: индивидуальная комплектация печного комплекса, не магазин оборудования. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",semantic_collection_queued
S15-HUB,S15,hub,Снос и демонтаж,snos-i-demontazh-zdanijj-domov,снос и демонтаж зданий ярославль,,9838,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,reuse,9838,page,servicepost.php,business_source:wp-rest/pages/9838#content[ruchnoj-i-mehanizirovannyj-razbor+pogruzka-i-vyvoz],suggest_queue:seo-data/2026-08-exp76-services/raw/legacy-suggest-v2/queue.csv#YS001059|YS001060;status=queued_not_collected,ручной и механизированный демонтаж в подтверждённом масштабе с относящимся к нему вывозом,"промышленный и высотный снос|исторические объекты|общий вывоз бытового мусора|неподтверждённые разрешения, режим 24/7 и любой масштаб","Включено: ручной и механизированный демонтаж в подтверждённом масштабе с относящимся к нему вывозом. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",semantic_collection_queued
