destination_id,service_id,page_role,parent_destination_id,current_url,proposed_url,canonical_url,primary_cluster_id,source_cluster_ids,url_action,publication_status,evidence_refs,review_status,reviewer,rationale
S6-ARTICLE-DIY-RETAINING-WALL,S6,article,S6-HUB,,https://exp76.ru/podpornaya-stenka-na-uchastke-svoimi-rukami/,https://exp76.ru/podpornaya-stenka-na-uchastke-svoimi-rukami/,HOLD-70212404217F,HOLD-70212404217F|HOLD-544177B45D38,article,backlog,raw/article-serp/yandex-api-Q000146.jsonl|Q000146,reviewed,codex-2026-08-28,Все результаты — инструкции и идеи для самостоятельного устройства. Это отдельный информационный интент относительно коммерческого хаба подпорных стен. Редакционная граница: Ограничить DIY безопасными невысокими конструкциями; для ответственных стен указывать необходимость расчёта специалистом
S5-ARTICLE-74B3B2B18DA4,S5,article,S5-HUB,,https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/,https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/,HOLD-74B3B2B18DA4,HOLD-74B3B2B18DA4,article,backlog,raw/article-serp/yandex-api-Q000148.jsonl|Q000148,reviewed,codex-2026-08-28,Все десять результатов — пошаговые руководства и разборы способов. Информационный DIY-интент отделён от заказа работ. Редакционная граница: Разделить ручное выравнивание и случаи для техники; вести на дочернюю услугу выравнивания
S1-ARTICLE-DIY-DESIGN,S1,article,S1-HUB,,https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,HOLD-9CF4ABC55090,HOLD-9CF4ABC55090|HOLD-FD41CABAE854,article,backlog,raw/article-serp/yandex-api-Q000149.jsonl|Q000149,reviewed,codex-2026-08-28,"Выдача состоит из самостоятельных руководств по ландшафтному дизайну. С материалом о схеме планировки участка совпадает только один URL, поэтому страницы можно развести по задачам. Редакционная граница: Сосредоточиться на исходных данных зонировании и эскизе; инженерные разделы связывать с хабом и защищёнными услугами"
S3-ARTICLE-PLANTING-SCHEMES,S3,article,S3-HUB,,https://exp76.ru/normy-posadki-derevev/,https://exp76.ru/normy-posadki-derevev/,HOLD-A31AAE5725CD,HOLD-A31AAE5725CD|HOLD-1D9AC2530460|HOLD-AF75D8A25C90,article,backlog,raw/article-serp/yandex-api-Q000150.jsonl|Q000150,reviewed,codex-2026-08-28,"Выдача показывает юридико-практический интент про расстояния до границ и объектов, а не технологию посадки. Статья нужна как нормативный гайд со ссылкой на услугу. Редакционная граница: Переформулировать материал вокруг расстояний и размещения; использовать только актуальные официальные нормы и дату проверки"
S8-ARTICLE-DIY-ENTRANCE,S8,article,S8-HUB,,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,HOLD-BE8C4D20F9A4,HOLD-BE8C4D20F9A4|HOLD-2F1C98E80F71|HOLD-5B52CBB329C4|HOLD-EB70299AA189,article,backlog,raw/article-serp/yandex-api-Q000151.jsonl|Q000151,reviewed,codex-2026-08-28,Девять результатов из десяти — самостоятельные пошаговые материалы по въезду через канаву. Информационный интент устойчив и отделён от заказа работ. Редакционная граница: Дать последовательность с трубой и насыпью без неподтверждённых размеров; сложные условия вести на услугу
S7-ARTICLE-DIY-LIGHTING,S7,article,S7-HUB,,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,HOLD-EC53FCBA2C1F,HOLD-EC53FCBA2C1F|HOLD-5A855707AEC1|HOLD-CA29C3BD9F29,article,backlog,raw/article-serp/yandex-api-Q000152.jsonl|Q000152,reviewed,codex-2026-08-28,Все результаты — руководства по планированию и устройству освещения. Отдельный информационный материал поддержит коммерческий хаб без создания товарной страницы. Редакционная граница: Сфокусироваться на сценариях и схеме; электромонтажные требования подтверждать актуальными первичными источниками и не заявлять допуски компании
S4-ARTICLE-F668FF6F6190,S4,article,S4-HUB,,https://exp76.ru/shema-uhoda-za-sadom/,https://exp76.ru/shema-uhoda-za-sadom/,HOLD-F668FF6F6190,HOLD-F668FF6F6190,article,backlog,raw/article-serp/yandex-api-Q000153.jsonl|Q000153,reviewed,codex-2026-08-28,Выдача однозначно трактует запрос как сезонный календарь работ и обработок. Материал отделён от инструкции по обрезке и от коммерческой услуги ухода. Редакционная граница: Использовать понятное название «Календарь ухода за садом» и не давать универсальные сроки без оговорки о погоде и культурах
S5-ARTICLE-FF3B04A53D72,S5,article,S5-HUB,,https://exp76.ru/shema-planirovki-uchastka/,https://exp76.ru/shema-planirovki-uchastka/,HOLD-FF3B04A53D72,HOLD-FF3B04A53D72,article,backlog,raw/article-serp/yandex-api-Q000154.jsonl|Q000154,reviewed,codex-2026-08-28,"Выдача состоит из планировщиков, схем и руководств по зонированию. С DIY-дизайном совпадает один URL, поэтому страница остаётся отдельной при строгом разграничении задач. Редакционная граница: Раскрыть функциональное зонирование и высотную логику; ландшафтный дизайн вести на S1 и не дублировать его DIY-статью"
SPECIAL-SERVICES-CATALOG,S1,special,,https://exp76.ru/services/,,https://exp76.ru/services/,SERP-7A77EA65DFCA,SERP-7A77EA65DFCA|HOLD-07E2BACAC1EA|HOLD-448EB54B315D|HOLD-81D00C204EE9|SERP-0FA0C101C6DD|SERP-501565B73C13|SERP-87C0A7353C83|SERP-A0149C55D54D|SERP-AB14F61F8612|SERP-BA00FDE71D08|SERP-E5B256F4A786|SERP-FCAB83A5E3BE,special,ready,Q000005,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.
SPECIAL-BRAND-HOMEPAGE,,special,,https://exp76.ru/,,https://exp76.ru/,SPECIAL-BRAND-HOMEPAGE,SPECIAL-BRAND-HOMEPAGE,special,ready,existing_special_owner,reviewed,codex-2026-08-28,Existing special owner is retained and is outside the service-hub release inventory.
SPECIAL-CALCULATOR,S1|S3|S4,special,,https://exp76.ru/kalkuljator-uslug/,,https://exp76.ru/kalkuljator-uslug/,SPECIAL-CALCULATOR,SPECIAL-CALCULATOR,special,ready,existing_special_owner,reviewed,codex-2026-08-28,Existing special owner is retained and is outside the service-hub release inventory.
S9-ARTICLE-STUMP-DIY,S9,article,S9-HUB,,https://exp76.ru/kak-izbavitsja-ot-pnja-na-uchastke/,https://exp76.ru/kak-izbavitsja-ot-pnja-na-uchastke/,S9-ARTICLE-STUMP-DIY,S9-ARTICLE-STUMP-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=14; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: сравнить самостоятельные способы и риски; заказ корчевания и расчёт оставить дочерней услуге.
S9-ARTICLE-OVERGROWN-SITE,S9,article,S9-HUB,,https://exp76.ru/kak-raschistit-zarosshij-uchastok/,https://exp76.ru/kak-raschistit-zarosshij-uchastok/,S9-ARTICLE-OVERGROWN-SITE,S9-ARTICLE-OVERGROWN-SITE,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: дать порядок обследования и подготовки; коммерческую расчистку оставить дочерней услуге.
S10-ARTICLE-POND-DIY,S10,article,S10-HUB,,https://exp76.ru/kak-sdelat-dekorativnyj-prud-na-uchastke/,https://exp76.ru/kak-sdelat-dekorativnyj-prud-na-uchastke/,S10-ARTICLE-POND-DIY,S10-ARTICLE-POND-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: раскрыть этапы и типовые ошибки без обещания универсальной конструкции; проектирование и создание оставить услуге.
S10-ARTICLE-POND-CARE,S10,article,S10-HUB,,https://exp76.ru/uhod-za-dekorativnym-prudom/,https://exp76.ru/uhod-za-dekorativnym-prudom/,S10-ARTICLE-POND-CARE,S10-ARTICLE-POND-CARE,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: описать эксплуатационный уход; не выдавать очистку запущенных водоёмов за подтверждённую услугу компании.
S11-ARTICLE-PRESSURE,S11,article,S11-HUB,,https://exp76.ru/sistemy-tumanoobrazovanija-vysokogo-i-nizkogo-davlenija/,https://exp76.ru/sistemy-tumanoobrazovanija-vysokogo-i-nizkogo-davlenija/,S11-ARTICLE-PRESSURE,S11-ARTICLE-PRESSURE,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: сравнить принципы и сценарии без неподтверждённых характеристик оборудования; подбор и монтаж оставить хабу.
S12-ARTICLE-PILE-PROS-CONS,S12,article,S12-HUB,,https://exp76.ru/fundament-na-betonnyh-svajah-pljusy-i-minusy/,https://exp76.ru/fundament-na-betonnyh-svajah-pljusy-i-minusy/,S12-ARTICLE-PILE-PROS-CONS,S12-ARTICLE-PILE-PROS-CONS,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: дать критерии обсуждения без расчёта несущей способности и неподтверждённых технических обещаний; монтаж оставить услуге.
S13-ARTICLE-CARPORT-DIY,S13,article,S13-HUB,,https://exp76.ru/naves-dlja-avtomobilja-svoimi-rukami/,https://exp76.ru/naves-dlja-avtomobilja-svoimi-rukami/,S13-ARTICLE-CARPORT-DIY,S13-ARTICLE-CARPORT-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=5; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: объяснить исходные данные и риски самостроя без публикации универсального расчёта; изготовление оставить услуге.
S13-ARTICLE-POLYCARBONATE-DIY,S13,article,S13-HUB,,https://exp76.ru/naves-iz-polikarbonata-k-domu-svoimi-rukami/,https://exp76.ru/naves-iz-polikarbonata-k-domu-svoimi-rukami/,S13-ARTICLE-POLYCARBONATE-DIY,S13-ARTICLE-POLYCARBONATE-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,"Яндекс показывает отдельную информационную выдачу. Информационная граница: раскрыть примыкание, водоотвод и исходные размеры без расчётных обещаний; проектирование и монтаж оставить услуге."
S14-ARTICLE-BRICK-GRILL-DIY,S14,article,S14-HUB,,https://exp76.ru/kirpichnyj-mangal-svoimi-rukami/,https://exp76.ru/kirpichnyj-mangal-svoimi-rukami/,S14-ARTICLE-BRICK-GRILL-DIY,S14-ARTICLE-BRICK-GRILL-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=1; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: дать учебную последовательность и требования безопасности; профессиональную кладку оставить дочерней услуге.
S14-ARTICLE-HEATING-STOVE-DIY,S14,article,S14-HUB,,https://exp76.ru/kladka-otopitelnoj-pechi-svoimi-rukami/,https://exp76.ru/kladka-otopitelnoj-pechi-svoimi-rukami/,S14-ARTICLE-HEATING-STOVE-DIY,S14-ARTICLE-HEATING-STOVE-DIY,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=0; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: объяснить подготовку и риски без универсальной порядовки для любого дома; кладку оставить дочерней услуге.
S15-ARTICLE-DEMOLITION-PERMIT,S15,article,S15-HUB,,https://exp76.ru/nuzhno-li-razreshenie-na-snos-chastnogo-doma/,https://exp76.ru/nuzhno-li-razreshenie-na-snos-chastnogo-doma/,S15-ARTICLE-DEMOLITION-PERMIT,S15-ARTICLE-DEMOLITION-PERMIT,article,ready,yandex_serp:manual:2026-08-29:lr=16; wordstat:region=10841:2026-07-28..2026-08-28:frequency=1; yandex_suggest:legacy-suggest-v2,reviewed,codex-2026-08-29,Яндекс показывает отдельную информационную выдачу. Информационная граница: перед публикацией проверить актуальные официальные нормы и описать порядок документов; сами работы оставить услуге.
S1-HUB,S1,hub,,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/services/landshaftnoe-proektirovanie/,SERP-704B34378555,SERP-704B34378555|HOLD-94EF07DDD02E|HOLD-9DDC73BD2CD3|HOLD-C31745B2E9F7|SERP-06251F551165|SERP-125679FE4BFA|SERP-18995A41CDF6|SERP-48476265400C|SERP-4D594D564DC8|SERP-AD553C0B8A2D|SERP-BE9D594EE9B4|SERP-E3CEDAA277E9|SERP-E7E51C21D43B,hub,ready,Q000019,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S2-HUB,S2,hub,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,SERP-D06FD14A8839,SERP-D06FD14A8839|HOLD-23F8882D4251|HOLD-973F3BFE6409|HOLD-C135773E31D9|SERP-63EDD3F67224|SERP-AD8EAA1CDE40|SERP-E492AC35BA1A,hub,ready,Q000040|Q000041,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S3-HUB,S3,hub,,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,SERP-F24614ECFE67,SERP-F24614ECFE67|HOLD-6AE9AB011A17|HOLD-D5EEA7CA5259|SERP-02C1679FE41B|SERP-3DA3A83AC9A8|SERP-65D0D96753C1|SERP-785822A3ED71|SERP-9F051612A9DA|SERP-A2EE2A3C7677|SERP-B063D3C3AD98,hub,ready,Q000063,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S4-HUB,S4,hub,,https://exp76.ru/services/ukhod-za-sadom/,,https://exp76.ru/services/ukhod-za-sadom/,SERP-6CE4B6AF888B,SERP-6CE4B6AF888B|HOLD-28627278866D|SERP-651B7A994F7E|SERP-7BD020023148|SERP-7DE3AAD9BA6E|SERP-AA3B1ED86F1C,hub,ready,Q000078,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S5-HUB,S5,hub,,https://exp76.ru/services/planirovka-territorii/,,https://exp76.ru/services/planirovka-territorii/,SERP-6DB26688AA57,SERP-6DB26688AA57|HOLD-37D2E790086A|HOLD-915B86D6B9ED|SERP-01050EAE1F1F|SERP-0DD3D2B067B4|SERP-28A33A22AC12|SERP-38789FF53DEB|SERP-490CDCE58295|SERP-7CD860AE1E28|SERP-AA8EBFF26F36|SERP-AE4638D982DC,hub,ready,Q000094|Q000095,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S6-HUB,S6,hub,,https://exp76.ru/services/podpornye-stenki/,,https://exp76.ru/services/podpornye-stenki/,SERP-69104D6AA308,SERP-69104D6AA308|HOLD-6179B3D98517|SERP-3CDF6B2A903F|SERP-468BED4A1CF4|SERP-5703FC9B6AB2|SERP-951E1BC7177B|SERP-970C6936F24A,hub,ready,Q000104,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S7-HUB,S7,hub,,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,SERP-6979557B24CA,SERP-6979557B24CA|HOLD-E9DA472745AE|HOLD-F28F0E53D909|SERP-2716C16CFFC8|SERP-D0ED9EC8158D,hub,ready,Q000109,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S8-HUB,S8,hub,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,SERP-DA28A58E74C6,SERP-DA28A58E74C6|HOLD-69BD3745F445|HOLD-6C8BD897EC93|HOLD-86F8E876B7EA|HOLD-ADD9FC08AC1E|HOLD-B8BA815347B8|HOLD-F18CA983788E|SERP-040A03E7E8F3|SERP-28E8746F1C7F|SERP-46D9E5DD0AF8|SERP-504953171519|SERP-57EC0E41B977|SERP-854ADA9B5F75|SERP-88BDA565D7AA|SERP-95322B4882AA|SERP-AA4C9E8989B0|SERP-D5D9845EEF9D,hub,ready,Q000117|Q000118,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
S9-HUB,S9,hub,,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,S9-HUB,S9-HUB,reuse,ready,"business_source:wp-rest/pages/6870#content[obrezka-i-spil-derevev-i-kustarnikov+vykorchevyvanie-pnej]; Включено: удаление деревьев, корчевание пней и расчистка древесно-кустарниковой растительности. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",reviewed,codex-2026-08-29,Сохраняется опубликованный владелец WP 6870; страница переводится в service-v2 hub без смены URL.
S10-HUB,S10,hub,,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,S10-HUB,S10-HUB,reuse,ready,"business_source:wp-rest/pages/6900#content[bassejny+prudy-i-ozera+fontany+ruchji+vodopady]; Включено: создание перечисленных live-страницей частных ландшафтных водных объектов. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",reviewed,codex-2026-08-29,Сохраняется опубликованный владелец WP 6900; страница переводится в service-v2 hub без смены URL.
S11-HUB,S11,hub,,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,S11-HUB,S11-HUB,reuse,ready,"business_source:wp-rest/pages/6922#content[chastnye-uchastki+otkrytye-ploshhadki+restorany+oranzherei-i-teplicy]; Включено: монтаж систем высокого давления для подтверждённых частных, коммерческих и тепличных сценариев. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",reviewed,codex-2026-08-29,Сохраняется опубликованный владелец WP 6922; страница переводится в service-v2 hub без смены URL.
S12-HUB,S12,hub,,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,,https://exp76.ru/services/fundament-na-zhelezobetonnykh-svajakh/,S12-HUB,S12-HUB,reuse,ready,"business_source:wp-rest/pages/9138#content[zabivnye-zhb-svai+betonnye-sterzhni-kvadratnogo-sechenija]; Включено: устройство фундамента на заявленных забивных железобетонных сваях без неподтверждённых конструктивных обещаний. Исключённые основные интенты: винтовые сваи, буронабивные сваи, неподтверждённые ростверк и геология, раздельная публикация object-variants без SERP overlap-check.",reviewed,codex-2026-08-29,Сохраняется опубликованный владелец WP 9138; страница переводится в service-v2 hub без смены URL.
S13-HUB,S13,hub,,https://exp76.ru/services/navesy-iz-metalla/,,https://exp76.ru/services/navesy-iz-metalla/,S13-HUB,S13-HUB,reuse,ready,"business_source:wp-rest/pages/9312#content[proektirovanie+izgotovlenie+montazh-legkih-metallokonstrukcij]; Включено: проектирование, изготовление и монтаж перечисленных live-страницей лёгких металлических навесов. Исключённые основные интенты: гараж и парковочная площадка, капитальная пристройка, печной комплекс, неподтверждённые сроки, бренды и гарантии.",reviewed,codex-2026-08-29,Сохраняется опубликованный владелец WP 9312; страница переводится в service-v2 hub без смены URL.
S14-HUB,S14,hub,,https://exp76.ru/services/kaminy-pechi-barbekju/,,https://exp76.ru/services/kaminy-pechi-barbekju/,S14-HUB,S14-HUB,reuse,ready,"business_source:wp-rest/pages/9775#content[kaminy+otopitelnye-pechi+barbekju-kompleksy+mangaly]; Включено: кладка заявленных каминов, отопительных печей и стационарных уличных печных комплексов. Исключённые основные интенты: продажа готового печного оборудования, котлы и отопительное оборудование, продажа переносных мангалов, металлический навес, неподтверждённые технические и гарантийные обещания.",reviewed,codex-2026-08-29,Сохраняется опубликованный владелец WP 9775; страница переводится в service-v2 hub без смены URL.
S15-HUB,S15,hub,,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,,https://exp76.ru/services/snos-i-demontazh-zdanijj-domov/,S15-HUB,S15-HUB,reuse,ready,"business_source:wp-rest/pages/9838#content[ruchnoj-i-mehanizirovannyj-razbor+pogruzka-i-vyvoz]; Включено: ручной и механизированный демонтаж в подтверждённом масштабе с относящимся к нему вывозом. Исключённые основные интенты: промышленный и высотный снос, исторические объекты, общий вывоз бытового мусора, неподтверждённые разрешения, режим 24/7 и любой масштаб.",reviewed,codex-2026-08-29,Сохраняется опубликованный владелец WP 9838; страница переводится в service-v2 hub без смены URL.
S1-CHILD-SKETCH,S1,child_service,S1-HUB,,https://exp76.ru/eskiznyj-proekt-uchastka/,https://exp76.ru/eskiznyj-proekt-uchastka/,S1-CHILD-SKETCH,S1-CHILD-SKETCH,create,ready,business=business_source:service-v2/landshaftnoe-proektirovanie.json#scope[Эскиз и зонирование]; semantic=raw/expanded-serp/yandex-api-Q000155.jsonl|Q000155,reviewed,codex-2026-08-29,"Эскиз, зонирование и концепция; полный комплект проекта остаётся хабу."
S1-CHILD-MASTERPLAN,S1,child_service,S1-HUB,,https://exp76.ru/generalnyj-plan-uchastka/,https://exp76.ru/generalnyj-plan-uchastka/,S1-CHILD-MASTERPLAN,S1-CHILD-MASTERPLAN,create,ready,business=business_source:service-v2/landshaftnoe-proektirovanie.json#scope[Генеральный план]; semantic=raw/expanded-serp/yandex-api-Q000156.jsonl|Q000156|raw/expanded-serp-targeted/yandex-api-Q000247.jsonl|Q000247|raw/reviewed-suggest-v6/yandex-suggest-YS000507.jsonl|YS000507,reviewed,codex-2026-08-29,"Генеральный план как часть ландшафтного проекта: зонирование, дорожки, озеленение и инженерные решения участка. ГПЗУ, кадастровый и строительный генплан исключаются; физическая планировка и выравнивание принадлежат S5."
