query_normalized,query,service_id,destination_id,page_role,assignment_status,conflicting_destination_ids,source_query_ids,source_seeds
фундамент плита на сваях бетонных,фундамент плита на сваях бетонных,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
фундамент плита на сваях бетонных технология,фундамент плита на сваях бетонных технология,S12,S12-HUB,hub,candidate,,YS001029,фундамент на железобетонных сваях
навес для зоны барбекю,навес для зоны барбекю,S13,S13-CHILD-BARBECUE,child_service,candidate,,YS001043,навес для зоны барбекю
навес для зоны барбекю из металла,навес для зоны барбекю из металла,S13,S13-CHILD-BARBECUE,child_service,candidate,,YS001043,навес для зоны барбекю
навес для зоны барбекю своими руками,навес для зоны барбекю своими руками,S13,S13-CHILD-BARBECUE,child_service,candidate,,YS001043,навес для зоны барбекю
навесы для зоны барбекю,навесы для зоны барбекю,S13,S13-CHILD-BARBECUE,child_service,candidate,,YS001043,навес для зоны барбекю
навесы для зоны барбекю на даче,навесы для зоны барбекю на даче,S13,S13-CHILD-BARBECUE,child_service,candidate,,YS001043,навес для зоны барбекю
навес для автомобиля,навес для автомобиля,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля из металлопрофиля,навес для автомобиля из металлопрофиля,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля из металлопрофиля односкатный,навес для автомобиля из металлопрофиля односкатный,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля купить,навес для автомобиля купить,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля своими руками из металла,навес для автомобиля своими руками из металла,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля своими руками из металла образцы чертежи,навес для автомобиля своими руками из металла образцы чертежи,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля фото,навес для автомобиля фото,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля ярославль,навес для автомобиля ярославль,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039,навес для автомобиля
навес для автомобиля ярославль цена с установкой,навес для автомобиля ярославль цена с установкой,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039|YS001040,навес для автомобиля|навес для автомобиля ярославль с установкой
навес для автомобиля ярославль цена с установкой под ключ недорого,навес для автомобиля ярославль цена с установкой под ключ недорого,S13,S13-CHILD-CARPORT,child_service,candidate,,YS001039|YS001040,навес для автомобиля|навес для автомобиля ярославль с установкой
заказать навес из поликарбоната примыкающий к дому,заказать навес из поликарбоната примыкающий к дому,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из монолитного поликарбоната примыкающий к дому,навес из монолитного поликарбоната примыкающий к дому,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из монолитного поликарбоната примыкающий к дому односкатный,навес из монолитного поликарбоната примыкающий к дому односкатный,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из поликарбоната к дому,навес из поликарбоната к дому,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из поликарбоната примыкающий к дому,навес из поликарбоната примыкающий к дому,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из поликарбоната примыкающий к дому своими руками,навес из поликарбоната примыкающий к дому своими руками,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из поликарбоната примыкающий к дому фото,навес из поликарбоната примыкающий к дому фото,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из поликарбоната своими руками к дому,навес из поликарбоната своими руками к дому,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес из профилированного поликарбоната примыкающий к дому,навес из профилированного поликарбоната примыкающий к дому,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навес к дому из поликарбоната примыкающий односкатный,навес к дому из поликарбоната примыкающий односкатный,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,candidate,,YS001045,навес из поликарбоната к дому
навесы для террасы и веранды,навесы для террасы и веранды,S13,S13-CHILD-TERRACE,child_service,candidate,,YS001041,навес для террасы и веранды
навесы для террасы и веранды к дому,навесы для террасы и веранды к дому,S13,S13-CHILD-TERRACE,child_service,candidate,,YS001041,навес для террасы и веранды
тканевый навес для террасы и веранды,тканевый навес для террасы и веранды,S13,S13-CHILD-TERRACE,child_service,candidate,,YS001041,навес для террасы и веранды
автомобильные навесы из металла,автомобильные навесы из металла,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы для автомобилей из металла,навесы для автомобилей из металла,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы для автомобилей из металла с односкатной крышей,навесы для автомобилей из металла с односкатной крышей,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы для автомобилей из металла фото,навесы для автомобилей из металла фото,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы для автомобилей из металла цена с установкой,навесы для автомобилей из металла цена с установкой,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы для дома из металла фото,навесы для дома из металла фото,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы для машин из металла,навесы для машин из металла,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы из металла,навесы из металла,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы из металла к дому,навесы из металла к дому,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
навесы из металла фото,навесы из металла фото,S13,S13-HUB,hub,candidate,,YS001037,навесы из металла
барбекю комплекс из кирпича под ключ,барбекю комплекс из кирпича под ключ,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
барбекю комплекс под ключ,барбекю комплекс под ключ,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
барбекю комплекс под ключ цена,барбекю комплекс под ключ цена,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
барбекю комплекс под ключ цена в москве и московской области,барбекю комплекс под ключ цена в москве и московской области,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
барбекю комплекс под ключ цена в спб,барбекю комплекс под ключ цена в спб,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
барбекю комплекс под ключ цена модульные,барбекю комплекс под ключ цена модульные,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
комплекс барбекю из кирпича цена под ключ,комплекс барбекю из кирпича цена под ключ,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
модульный барбекю комплекс под ключ цена,модульный барбекю комплекс под ключ цена,S14,S14-CHILD-BARBECUE,child_service,candidate,,YS001053,барбекю-комплекс под ключ
кирпичный мангал,кирпичный мангал,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал в беседке,кирпичный мангал в беседке,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал для дачи,кирпичный мангал для дачи,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал для дачи своими руками,кирпичный мангал для дачи своими руками,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал с печкой под казан своими руками,кирпичный мангал с печкой под казан своими руками,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал своими руками,кирпичный мангал своими руками,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал своими руками чертежи,кирпичный мангал своими руками чертежи,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал своими руками чертежи и фото,кирпичный мангал своими руками чертежи и фото,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал своими руками чертежи и фото пошаговая инструкция,кирпичный мангал своими руками чертежи и фото пошаговая инструкция,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
кирпичный мангал фото,кирпичный мангал фото,S14,S14-CHILD-BRICK-GRILL,child_service,candidate,,YS001055,кирпичный мангал
строительство камина,строительство камина,S14,S14-CHILD-FIREPLACE,child_service,candidate,,YS001049,строительство камина
строительство камина в частном доме,строительство камина в частном доме,S14,S14-CHILD-FIREPLACE,child_service,candidate,,YS001049,строительство камина
строительство камина в частном доме своими руками,строительство камина в частном доме своими руками,S14,S14-CHILD-FIREPLACE,child_service,candidate,,YS001049,строительство камина
строительство каминов,строительство каминов,S14,S14-CHILD-FIREPLACE,child_service,candidate,,YS001049,строительство камина
строительство печей и каминов,строительство печей и каминов,S14,S14-CHILD-FIREPLACE,child_service,candidate,,YS001049,строительство камина
кладка отопительной печи,кладка отопительной печи,S14,S14-CHILD-HEATING-STOVE,child_service,candidate,,YS001051,кладка отопительной печи
механизированный демонтаж,механизированный демонтаж,S15,S15-CHILD-MECHANIZED,child_service,candidate,,YS001069,механизированный снос зданий
заявление на снос частного дома образец,заявление на снос частного дома образец,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
нужно ли разрешение на снос частного дома,нужно ли разрешение на снос частного дома,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
разрешение на снос частного дома,разрешение на снос частного дома,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
сколько стоит снос частного дома,сколько стоит снос частного дома,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
снос жилого дома,снос жилого дома,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
снос жилого дома порядок действий,снос жилого дома порядок действий,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
снос частного дома,снос частного дома,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
снос частного дома компенсация,снос частного дома компенсация,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
снос частного дома порядок,снос частного дома порядок,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
снос частного дома цена,снос частного дома цена,S15,S15-CHILD-PRIVATE-HOUSE,child_service,candidate,,YS001061,снос частного дома
демонтаж снос зданий и сооружений,демонтаж снос зданий и сооружений,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
разборка и снос зданий оквэд,разборка и снос зданий оквэд,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
снос и демонтаж,снос и демонтаж,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
снос и демонтаж в чем разница,снос и демонтаж в чем разница,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
снос и демонтаж зданий,снос и демонтаж зданий,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
снос и демонтаж зданий и сооружений,снос и демонтаж зданий и сооружений,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
сп снос демонтаж зданий и сооружений,сп снос демонтаж зданий и сооружений,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
тендер демонтаж и снос,тендер демонтаж и снос,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
тендеры на снос демонтаж зданий и сооружений,тендеры на снос демонтаж зданий и сооружений,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
тендеры на снос и демонтаж зданий,тендеры на снос и демонтаж зданий,S15,S15-HUB,hub,candidate,,YS001059,снос и демонтаж
расчистка участка от деревьев и кустарников,расчистка участка от деревьев и кустарников,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников расценка,расчистка участка от деревьев и кустарников расценка,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников расценка в смете,расчистка участка от деревьев и кустарников расценка в смете,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников своими руками,расчистка участка от деревьев и кустарников своими руками,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников цена,расчистка участка от деревьев и кустарников цена,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников цена за сотку,расчистка участка от деревьев и кустарников цена за сотку,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников цена за сотку ленобласть,расчистка участка от деревьев и кустарников цена за сотку ленобласть,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников цена за сотку московская область,расчистка участка от деревьев и кустарников цена за сотку московская область,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников цена за сотку нижегородская область,расчистка участка от деревьев и кустарников цена за сотку нижегородская область,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
расчистка участка от деревьев и кустарников цена московская область,расчистка участка от деревьев и кустарников цена московская область,S9,S9-CHILD-CLEARING,child_service,candidate,,YS001007,расчистка участка от деревьев и кустарников
корчевание пней,корчевание пней,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней лебедкой,корчевание пней лебедкой,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней мини экскаватором,корчевание пней мини экскаватором,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней на участке,корчевание пней на участке,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней на участке своими руками,корчевание пней на участке своими руками,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней на участке сколько стоит,корчевание пней на участке сколько стоит,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней на участке цена,корчевание пней на участке цена,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней расценка в смете,корчевание пней расценка в смете,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней трактором,корчевание пней трактором,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
корчевание пней экскаватором,корчевание пней экскаватором,S9,S9-CHILD-STUMPS,child_service,candidate,,YS001005,корчевание пней
спил деревьев ярославль,спил деревьев ярославль,S9,S9-CHILD-TREE-REMOVAL,child_service,candidate,,YS001004,спил деревьев ярославль
спил и удаление деревьев,спил и удаление деревьев,S9,S9-CHILD-TREE-REMOVAL,child_service,candidate,,YS001003,спил и удаление деревьев
