query_id,seed,service_id,destination_id,page_role,region_id,reason
YS000451,посадка хвойных деревьев,S3,S3-CHILD-CONIFERS,child_service,10841,reviewed_suggest_root[S3-CHILD-CONIFERS]
YS000452,услуги посадки хвойных деревьев,S3,S3-CHILD-CONIFERS,child_service,10841,reviewed_suggest_transactional[S3-CHILD-CONIFERS]
YS000453,посадка кустарников,S3,S3-CHILD-SHRUBS,child_service,10841,reviewed_suggest_root[S3-CHILD-SHRUBS]
YS000454,посадка кустарников под ключ,S3,S3-CHILD-SHRUBS,child_service,10841,reviewed_suggest_transactional[S3-CHILD-SHRUBS]
YS000455,посадка крупномеров,S3,S3-CHILD-LARGE,child_service,10841,reviewed_suggest_root[S3-CHILD-LARGE]
YS000456,посадка крупномеров цена,S3,S3-CHILD-LARGE,child_service,10841,reviewed_suggest_transactional[S3-CHILD-LARGE]
YS000457,посадка живой изгороди,S3,S3-CHILD-HEDGE,child_service,10841,reviewed_suggest_root[S3-CHILD-HEDGE]
YS000458,посадка живой изгороди под ключ ярославль,S3,S3-CHILD-HEDGE,child_service,10841,reviewed_suggest_transactional[S3-CHILD-HEDGE]
YS000459,обрезка деревьев,S4,S4-CHILD-TREE-PRUNING,child_service,10841,reviewed_suggest_root[S4-CHILD-TREE-PRUNING]
YS000460,заказать обрезку деревьев цена,S4,S4-CHILD-TREE-PRUNING,child_service,10841,reviewed_suggest_transactional[S4-CHILD-TREE-PRUNING]
YS000461,обрезка кустарников и живой изгороди,S4,S4-CHILD-SHRUB-PRUNING,child_service,10841,reviewed_suggest_root[S4-CHILD-SHRUB-PRUNING]
YS000462,стрижка кустарников и живой изгороди цена,S4,S4-CHILD-SHRUB-PRUNING,child_service,10841,reviewed_suggest_transactional[S4-CHILD-SHRUB-PRUNING]
YS000463,уход и обслуживание газона,S4,S4-CHILD-LAWN-CARE,child_service,10841,reviewed_suggest_root[S4-CHILD-LAWN-CARE]
YS000464,услуги по уходу за газоном цена,S4,S4-CHILD-LAWN-CARE,child_service,10841,reviewed_suggest_transactional[S4-CHILD-LAWN-CARE]
YS000465,уход за цветниками и клумбами,S4,S4-CHILD-FLOWERBEDS,child_service,10841,reviewed_suggest_root[S4-CHILD-FLOWERBEDS]
YS000466,услуги по уходу за цветниками и клумбами,S4,S4-CHILD-FLOWERBEDS,child_service,10841,reviewed_suggest_transactional[S4-CHILD-FLOWERBEDS]
YS000467,обработка сада от болезней и вредителей,S4,S4-CHILD-PEST,child_service,10841,reviewed_suggest_root[S4-CHILD-PEST]
YS000468,обработка сада от болезней и вредителей цена ярославль,S4,S4-CHILD-PEST,child_service,10841,reviewed_suggest_transactional[S4-CHILD-PEST]
YS000469,выравнивание участка,S5,S5-CHILD-LEVEL,child_service,10841,reviewed_suggest_root[S5-CHILD-LEVEL]
YS000470,выравнивание участка цена,S5,S5-CHILD-LEVEL,child_service,10841,reviewed_suggest_transactional[S5-CHILD-LEVEL]
YS000471,вертикальная планировка и формирование уклонов,S5,S5-CHILD-VERTICAL,child_service,10841,reviewed_suggest_root[S5-CHILD-VERTICAL]
YS000472,вертикальная планировка участка цена,S5,S5-CHILD-VERTICAL,child_service,10841,reviewed_suggest_transactional[S5-CHILD-VERTICAL]
YS000473,планировка участка спецтехникой,S5,S5-CHILD-MACHINERY,child_service,10841,reviewed_suggest_root[S5-CHILD-MACHINERY]
YS000474,планировка участка трактором цена ярославль,S5,S5-CHILD-MACHINERY,child_service,10841,reviewed_suggest_transactional[S5-CHILD-MACHINERY]
YS000475,отсыпка и подъём участка грунтом,S5,S5-CHILD-FILL,child_service,10841,reviewed_suggest_root[S5-CHILD-FILL]
YS000476,отсыпка и подъем участка грунтом цена,S5,S5-CHILD-FILL,child_service,10841,reviewed_suggest_transactional[S5-CHILD-FILL]
YS000477,культивация участка,S5,S5-CHILD-CULTIVATION,child_service,10841,reviewed_suggest_root[S5-CHILD-CULTIVATION]
YS000478,культивация участка цена за сотку ярославль,S5,S5-CHILD-CULTIVATION,child_service,10841,reviewed_suggest_transactional[S5-CHILD-CULTIVATION]
YS000479,корчевание пней на участке,S5,S5-CHILD-STUMPS,child_service,10841,reviewed_suggest_root[S5-CHILD-STUMPS]
YS000480,корчевание пней цена ярославль,S5,S5-CHILD-STUMPS,child_service,10841,reviewed_suggest_transactional[S5-CHILD-STUMPS]
YS000481,бетонные подпорные стенки,S6,S6-CHILD-CONCRETE,child_service,10841,reviewed_suggest_root[S6-CHILD-CONCRETE]
YS000482,устройство бетонной подпорной стенки,S6,S6-CHILD-CONCRETE,child_service,10841,reviewed_suggest_transactional[S6-CHILD-CONCRETE]
YS000483,подпорные стенки из камня и кирпича,S6,S6-CHILD-STONE,child_service,10841,reviewed_suggest_root[S6-CHILD-STONE]
YS000484,строительство подпорной стенки из камня или кирпича ярославль,S6,S6-CHILD-STONE,child_service,10841,reviewed_suggest_transactional[S6-CHILD-STONE]
YS000485,деревянные подпорные стенки,S6,S6-CHILD-WOOD,child_service,10841,reviewed_suggest_root[S6-CHILD-WOOD]
YS000486,деревянная подпорная стенка цена работы ярославль,S6,S6-CHILD-WOOD,child_service,10841,reviewed_suggest_transactional[S6-CHILD-WOOD]
YS000487,проект освещения участка,S7,S7-CHILD-DESIGN,child_service,10841,reviewed_suggest_root[S7-CHILD-DESIGN]
YS000488,проектирование освещения участка цена,S7,S7-CHILD-DESIGN,child_service,10841,reviewed_suggest_transactional[S7-CHILD-DESIGN]
YS000489,монтаж уличного освещения участка,S7,S7-CHILD-INSTALL,child_service,10841,reviewed_suggest_root[S7-CHILD-INSTALL]
YS000490,монтаж уличного освещения участка цена,S7,S7-CHILD-INSTALL,child_service,10841,reviewed_suggest_transactional[S7-CHILD-INSTALL]
YS000491,ландшафтное и декоративное освещение сада,S7,S7-CHILD-LANDSCAPE,child_service,10841,reviewed_suggest_root[S7-CHILD-LANDSCAPE]
YS000492,монтаж ландшафтного освещения участка,S7,S7-CHILD-LANDSCAPE,child_service,10841,reviewed_suggest_transactional[S7-CHILD-LANDSCAPE]
YS000493,архитектурная подсветка частного дома,S7,S7-CHILD-ARCHITECTURAL,child_service,10841,reviewed_suggest_root[S7-CHILD-ARCHITECTURAL]
YS000494,монтаж архитектурной подсветки частного дома,S7,S7-CHILD-ARCHITECTURAL,child_service,10841,reviewed_suggest_transactional[S7-CHILD-ARCHITECTURAL]
YS000495,новогоднее освещение загородного дома,S7,S7-CHILD-HOLIDAY,child_service,10841,reviewed_suggest_root[S7-CHILD-HOLIDAY]
YS000496,монтаж новогоднего освещения дома ярославль,S7,S7-CHILD-HOLIDAY,child_service,10841,reviewed_suggest_transactional[S7-CHILD-HOLIDAY]
YS000497,укладка водопропускной трубы в канаву,S8,S8-CHILD-PIPE,child_service,10841,reviewed_suggest_root[S8-CHILD-PIPE]
YS000498,установка водопропускной трубы в канаву для въезда,S8,S8-CHILD-PIPE,child_service,10841,reviewed_suggest_transactional[S8-CHILD-PIPE]
YS000499,щебёночный въезд на участок,S8,S8-CHILD-GRAVEL,child_service,10841,reviewed_suggest_root[S8-CHILD-GRAVEL]
YS000500,отсыпка въезда на участок щебнем цена,S8,S8-CHILD-GRAVEL,child_service,10841,reviewed_suggest_transactional[S8-CHILD-GRAVEL]
YS000501,бетонный въезд через канаву,S8,S8-CHILD-CONCRETE,child_service,10841,reviewed_suggest_root[S8-CHILD-CONCRETE]
YS000502,устройство бетонного въезда через канаву,S8,S8-CHILD-CONCRETE,child_service,10841,reviewed_suggest_transactional[S8-CHILD-CONCRETE]
YS000503,въезд через канаву с парковочной площадкой,S8,S8-CHILD-PARKING,child_service,10841,reviewed_suggest_root[S8-CHILD-PARKING]
YS000504,въезд на участок с парковочной площадкой под ключ ярославль,S8,S8-CHILD-PARKING,child_service,10841,reviewed_suggest_transactional[S8-CHILD-PARKING]
