"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"дренажная схема участка 10 соток примерно","2026-07-20 - 2026-08-18","4.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.50","","0.00","0.00","","",""
"сколько стоит м2 работ по укладке тротуарной плитки","2026-07-20 - 2026-08-18","4.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","7.50","","0.00","0.00","","",""
"отмостка дома ярославль заволга","2026-07-20 - 2026-08-18","4.00","0.00","0.00","6.25","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.25","","0.00","0.00","","",""
"дренаж участка 6 соток под ключ цена","2026-07-20 - 2026-08-18","4.00","0.00","0.00","23.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","23.00",""
"цена укладки дренажа углич","2026-07-20 - 2026-08-18","4.00","1.00","25.00","5.50","5.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","5.50","5.00","0.00","0.00","","",""
"прайс на устройство дренажа","2026-07-20 - 2026-08-18","4.00","1.00","25.00","8.25","4.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","5.50","4.00","2.00","0.00","0.00","11.00",""
"сколько стоит дренаж участка 6 соток","2026-07-20 - 2026-08-18","4.00","0.00","0.00","29.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","29.00",""
"авито углич укладка брусчатки","2026-07-20 - 2026-08-18","4.00","1.00","25.00","5.75","7.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","5.75","7.00","0.00","0.00","","",""
"эксперт рыбинск","2026-07-20 - 2026-08-18","4.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","2.00","0.00","0.00","11.00",""
"замена тротуарной плитки новую на старую видео","2026-07-20 - 2026-08-18","4.00","1.00","25.00","7.50","6.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","7.50","6.00","0.00","0.00","","",""
"устройство дренажа вокруг дома цена за работу","2026-07-20 - 2026-08-18","3.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"ландшафтное проектирование калькулятор","2026-07-20 - 2026-08-18","3.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","13.00",""
"уложить плитку на даче под ключ цена","2026-07-20 - 2026-08-18","3.00","0.00","0.00","11.67","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","11.67",""
"выровнять участок на даче ярославль","2026-07-20 - 2026-08-18","3.00","0.00","0.00","25.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","25.00",""
"отмостку вокруг дома сколько стоит в ярославле сделать","2026-07-20 - 2026-08-18","3.00","1.00","33.33","7.67","6.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","7.67","6.00","0.00","0.00","","",""
"можно ли укладывать тротуарную плитку по верх старой","2026-07-20 - 2026-08-18","3.00","2.00","66.67","5.00","6.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","",""
"вопрос, если на старую, залитую раствором, дорожку положить новую брусчатку. что будет снею в дальнейшем","2026-07-20 - 2026-08-18","3.00","0.00","0.00","8.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.33","","0.00","0.00","","",""
"сколько стоит уложить тротуарную плитку цена за м2","2026-07-20 - 2026-08-18","3.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"расценки на отмостку вокруг дома из бетона цена за работу в ярославле","2026-07-20 - 2026-08-18","3.00","1.00","33.33","4.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"стоимость устройства дренажа на участке за метр","2026-07-20 - 2026-08-18","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","0.00","0.00","","",""
"найти садовника на участок в рыбинске","2026-07-20 - 2026-08-18","3.00","2.00","66.67","6.33","6.00","0.00","0.00","","0.00","0.00","","","","3.00","2.00","66.67","6.33","6.00","0.00","0.00","","",""
"у кого в ярославле заказать отмостку","2026-07-20 - 2026-08-18","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","0.00","0.00","","",""
"key_phrase : благоустройство ярославской области","2026-07-20 - 2026-08-18","3.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","1.00","0.00","0.00","18.00",""
"можно ли поверх старой плитки на улице положить лемезит","2026-07-20 - 2026-08-18","3.00","0.00","0.00","11.33","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","12.00",""
"можно ли класть тротуарную плитку на тротуарную плитку","2026-07-20 - 2026-08-18","3.00","1.00","33.33","2.67","2.00","0.00","0.00","","3.00","1.00","33.33","2.67","2.00","0.00","0.00","","","","0.00","0.00","","",""
"навесы для авто в г.угличе ярославская обл","2026-07-20 - 2026-08-18","3.00","0.00","0.00","24.67","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","24.67",""
"отмостка вокруг дома в ярославле","2026-07-20 - 2026-08-18","3.00","1.00","33.33","7.33","5.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","7.33","5.00","0.00","0.00","","",""
"демонтаж stroy-investmsk 76","2026-07-20 - 2026-08-18","3.00","0.00","0.00","9.33","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","1.00","0.00","0.00","12.00",""
"почему может быть плохое основание в тротуаре","2026-07-20 - 2026-08-18","3.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","4.00","","0.00","0.00","","",""
"служба ливневых стоков ярославль","2026-07-20 - 2026-08-18","3.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","2.00","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"можно класть тротуарную плитку на плитку","2026-07-20 - 2026-08-18","3.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.00","","0.00","0.00","","",""
"стоимость укладки тротуарной плитки за м2","2026-07-20 - 2026-08-18","3.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"дренаж вокруг дома под ключ","2026-07-20 - 2026-08-18","3.00","0.00","0.00","7.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.67","","0.00","0.00","","",""
"можно ди га плитку уличную сверху положить другую","2026-07-20 - 2026-08-18","3.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.00","","0.00","0.00","","",""
"сколько стоит дренажная система участка","2026-07-20 - 2026-08-18","3.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","0.00","0.00","","",""
"благоустройство рыбинск","2026-07-20 - 2026-08-18","3.00","0.00","0.00","13.33","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","2.00","0.00","0.00","18.00",""
"ярославская область сколько стоит сделать въездную дорогу на участке","2026-07-20 - 2026-08-18","3.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.00","","0.00","0.00","","",""
"отмостка в переславле","2026-07-20 - 2026-08-18","3.00","0.00","0.00","3.00","","0.00","0.00","","3.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"установка бордюров для тротуарной плитки цена за работу в ярославле","2026-07-20 - 2026-08-18","3.00","1.00","33.33","11.00","9.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","9.00","9.00","2.00","0.00","0.00","12.00",""
"услуги по укладке плитки тротуарной в тутаеве","2026-07-20 - 2026-08-18","3.00","0.00","0.00","6.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.33","","0.00","0.00","","",""
"можно ли положить тротуарную плитку поверх старой плитки","2026-07-20 - 2026-08-18","3.00","1.00","33.33","2.00","1.00","1.00","1.00","100.00","2.00","0.00","0.00","2.50","","0.00","0.00","","","","0.00","0.00","","",""
"авито очистка участка рыбинск","2026-07-20 - 2026-08-18","3.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","0.00","0.00","","",""
"дренаж углич","2026-07-20 - 2026-08-18","3.00","0.00","0.00","4.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","4.67","","0.00","0.00","","",""
"можно ли укладывать тротуарную плитку на старую плитку","2026-07-20 - 2026-08-18","3.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","2.50","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ярославль дренаж вокруг строения","2026-07-20 - 2026-08-18","3.00","0.00","0.00","23.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","23.00",""
"монтаж ливневой канализации в ярославле","2026-07-20 - 2026-08-18","3.00","1.00","33.33","5.33","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заезд через канаву на участок","2026-07-20 - 2026-08-18","2.00","1.00","50.00","13.00","12.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","1.00","50.00","13.00","12.00"
"отмостка заказать в переславле","2026-07-20 - 2026-08-18","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"плиточник в угличе","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"навес купить в рыбинске","2026-07-20 - 2026-08-18","2.00","0.00","0.00","19.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","19.50",""
"сделать дренаж на болотистом участке","2026-07-20 - 2026-08-18","2.00","0.00","0.00","18.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","18.00",""
"отмостка в частном доме ярославль","2026-07-20 - 2026-08-18","2.00","0.00","0.00","4.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"рулонный газон в ярославской области на авито","2026-07-20 - 2026-08-18","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"планировка участка ярославль дисконт миниpogruzchiki-ru","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"как рассчитать стоимость переделки клумбы онлайн","2026-07-20 - 2026-08-18","2.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"сайты благоустройства участков","2026-07-20 - 2026-08-18","2.00","1.00","50.00","1.50","1.00","1.00","1.00","100.00","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"выполнить отмостку город ярославль","2026-07-20 - 2026-08-18","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"устройство ливневки и отмостки в ярославле","2026-07-20 - 2026-08-18","2.00","1.00","50.00","5.50","6.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","5.50","6.00","0.00","0.00","","",""
"можно переложить уже положенную тротуарную плитку","2026-07-20 - 2026-08-18","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"сколько стоит сделать дренаж вокруг дома","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","12.00",""
"отмостка вокруг дома рыбинск","2026-07-20 - 2026-08-18","2.00","1.00","50.00","5.50","4.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","5.50","4.00","0.00","0.00","","",""
"рыбинск как сделать заявку на спил деревьев в рыбинском районе поселение глебовское","2026-07-20 - 2026-08-18","2.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"снос зданий и сооружений","2026-07-20 - 2026-08-18","2.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","16.00",""
"дренаж рыбинск","2026-07-20 - 2026-08-18","2.00","0.00","0.00","2.00","","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"прейскурант цен на благоустройство придомовой территории в ярославской области","2026-07-20 - 2026-08-18","2.00","1.00","50.00","7.00","7.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","7.00","7.00","0.00","0.00","","",""
"зачем поднимать старую плитку и класть заново на асфальте","2026-07-20 - 2026-08-18","2.00","0.00","0.00","4.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"строительство слипов углич","2026-07-20 - 2026-08-18","2.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"расценки на укладку тротуарной плитки и бордюров в ярославле","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"дренаж участка в ярославле","2026-07-20 - 2026-08-18","2.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"можно ли поверх плиты положить тротуарную плитку","2026-07-20 - 2026-08-18","2.00","0.00","0.00","11.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","13.00",""
"ярославль купить гибкую отмостку цена адрес","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","12.00",""
"сколько стоит кладка брусчатка","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"монтаж навеса для авто от производителя ярославль","2026-07-20 - 2026-08-18","2.00","0.00","0.00","23.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","23.50",""
"укладка тротуарной плитки рыбинск","2026-07-20 - 2026-08-18","2.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","0.00","0.00","","",""
"положить плитку на старую плитку на улице","2026-07-20 - 2026-08-18","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"обслуживание систем полива в ярославле","2026-07-20 - 2026-08-18","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"сколько стоит м2 работ по укладке тротуарной плитки в ярославле","2026-07-20 - 2026-08-18","2.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","0.00","0.00","","",""
"план дренажа на 6 соток","2026-07-20 - 2026-08-18","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"благоустройство территории перед участком","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"корчевание деревьев ярославль экономично техно ники ru","2026-07-20 - 2026-08-18","2.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","0.00","0.00","","",""
"можно ли на плитку тротуарную положить сверху плитку из гранита","2026-07-20 - 2026-08-18","2.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"положить тротуарную плитку поверх старой плитка","2026-07-20 - 2026-08-18","2.00","0.00","0.00","2.00","","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"сделать отмостку цена за квадратный метр","2026-07-20 - 2026-08-18","2.00","1.00","50.00","7.50","8.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","7.50","8.00","0.00","0.00","","",""
"ярославская область вывешивание домов организации","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"строительство подпорных стен в ярославле","2026-07-20 - 2026-08-18","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"8 915 978-30-31","2026-07-20 - 2026-08-18","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
