pair_id,decision,review_status,reviewer,rationale,evidence_note
PAIR-2DBC55B17F37,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство в рыбинске"" targets комплексное благоустройство участка, while ""ландшафтный дизайн рыбинск"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[marketplace_directory:1,service_landing:3,topic_landing:6];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[marketplace_directory:1,service_landing:3,topic_landing:6];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored queries Q000003/Q000023; shared URLs=https://avito.ru/rybinsk/predlozheniya_uslug/|https://exp76.ru/."
PAIR-FC38935458C1,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство дачного участка под ключ"" targets комплексное благоустройство участка, while ""ландшафтный дизайн участка"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:4,marketplace_directory:3,service_landing:1,topic_landing:2]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:4,marketplace_directory:3,service_landing:1,topic_landing:2]; stored queries Q000004/Q000024; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://yaroslavl.mslandshaft.ru/."
PAIR-AECC2DACF327,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""прейскурант цен на благоустройство придомовой территории в ярославской области"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored queries Q000004/Q000027; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-1BB123E9828A,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство дачного участка под ключ"" targets комплексное благоустройство участка, while ""проект благоустройства участка"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:1,product_catalog:1,service_landing:3,topic_landing:2]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:1,product_catalog:1,service_landing:3,topic_landing:2]; stored queries Q000004/Q000028; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://yaroslavl.blago-s.ru/."
PAIR-F00A384558CE,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""сайты благоустройства участков"" (комплексное благоустройство участка) converge on one canonical answer; overlap=4/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:4,service_landing:5,topic_landing:1]; stored top-10 result types and query wording support one service page.","overlap=4/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:4,service_landing:5,topic_landing:1]; stored queries Q000004/Q000030; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/."
PAIR-A90E2AE44885,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""стоимость работ по благоустройству территории ярославль"" (комплексное благоустройство участка) converge on one canonical answer; overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=3/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored queries Q000004/Q000032; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://avito.ru/yaroslavl/predlozheniya_uslug/sad_blagoustroystvo-ASgBAgICAUSYC8KfAQ/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-B873CE9E47F0,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""стоимость реализации проекта обустройства частного участка в ярославской области компании"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored queries Q000004/Q000033; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-F6F188D24888,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство дачного участка под ключ"" (комплексное благоустройство участка) and ""цены на работу по благоустройству"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:9,service_landing:1]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[marketplace_directory:3,service_landing:5,topic_landing:2];right[marketplace_directory:9,service_landing:1]; stored queries Q000004/Q000035; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-8348965A5EB5,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка"" (комплексное благоустройство участка) and ""благоучтройство дачного участка в ярославской области"" (комплексное благоустройство участка) converge on one canonical answer; overlap=3/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:2,service_landing:8]; stored top-10 result types and query wording support one service page.","overlap=3/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:2,service_landing:8]; stored queries Q000005/Q000009; shared URLs=https://atlant76.com/landshaftnye-raboty/|https://uslugi.yandex.ru/16-yaroslavl/category/|https://yaroslavl.blago-s.ru/."
PAIR-E541C5AF631A,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка"" targets комплексное благоустройство участка, while ""дизайн проект участка"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[article_guide:3,marketplace_directory:2,service_landing:1,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[article_guide:3,marketplace_directory:2,service_landing:1,topic_landing:4]; stored queries Q000005/Q000010; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-0BFC66C22F70,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка"" targets комплексное благоустройство участка, while ""заказать дизайн проект участка"" targets ландшафтное проектирование и дизайн; overlap=3/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=3/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored queries Q000005/Q000011; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://om-garden.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-B14F6CD90FA6,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка"" (комплексное благоустройство участка) and ""ландшафтная компания эксперты"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored queries Q000005/Q000017; shared URLs=https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-B31308CEBD30,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка"" targets комплексное благоустройство участка, while ""ландшафтный дизайнер коприно"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:2,service_landing:1,topic_landing:7]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:2,service_landing:1,topic_landing:7]; stored queries Q000005/Q000025; shared URLs=https://exp76.ru/|https://om-garden.ru/."
PAIR-A4C9044CB53A,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка"" (комплексное благоустройство участка) and ""прейскурант цен на благоустройство придомовой территории в ярославской области"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:8,service_landing:2]; stored queries Q000005/Q000027; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-1FE4FD0F65E3,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка"" targets комплексное благоустройство участка, while ""проект благоустройства участка"" targets ландшафтное проектирование и дизайн; overlap=3/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[article_guide:3,marketplace_directory:1,product_catalog:1,service_landing:3,topic_landing:2]; stored top-10 result types and query wording require separate canonical answers.","overlap=3/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[article_guide:3,marketplace_directory:1,product_catalog:1,service_landing:3,topic_landing:2]; stored queries Q000005/Q000028; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://dzen.ru/a/amH4nZcZkS4zKha-/|https://yaroslavl.blago-s.ru/."
PAIR-65FE36ADEFC8,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка"" (комплексное благоустройство участка) and ""стоимость работ по благоустройству территории ярославль"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:8,service_landing:2]; stored queries Q000005/Q000032; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-58AC2FDA8689,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка"" (комплексное благоустройство участка) and ""стоимость реализации проекта обустройства частного участка в ярославской области компании"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:8,service_landing:2]; stored queries Q000005/Q000033; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-415F64C62578,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка"" (комплексное благоустройство участка) and ""цены на работу по благоустройству"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:9,service_landing:1]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:2,marketplace_directory:2,service_landing:3,topic_landing:3];right[marketplace_directory:9,service_landing:1]; stored queries Q000005/Q000035; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-694589B74D21,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка участка ярославль"" targets комплексное благоустройство участка, while ""дизайн проект участка"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:2,service_landing:1,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:2,service_landing:1,topic_landing:4]; stored queries Q000006/Q000010; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-61979998DB0E,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка участка ярославль"" targets комплексное благоустройство участка, while ""заказать дизайн проект участка"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored queries Q000006/Q000011; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-0D034538ECE4,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка участка ярославль"" (комплексное благоустройство участка) and ""ландшафтная компания эксперты"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored queries Q000006/Q000017; shared URLs=https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-9D52A088C574,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка участка ярославль"" (комплексное благоустройство участка) and ""прейскурант цен на благоустройство придомовой территории в ярославской области"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored queries Q000006/Q000027; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-41E2D596D9A3,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка участка ярославль"" targets комплексное благоустройство участка, while ""проект благоустройства участка"" targets ландшафтное проектирование и дизайн; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:1,product_catalog:1,service_landing:3,topic_landing:2]; stored top-10 result types and query wording require separate canonical answers.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[article_guide:3,marketplace_directory:1,product_catalog:1,service_landing:3,topic_landing:2]; stored queries Q000006/Q000028; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://yaroslavl.blago-s.ru/."
PAIR-FB09EDB11ECF,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка участка ярославль"" (комплексное благоустройство участка) and ""стоимость работ по благоустройству территории ярославль"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored queries Q000006/Q000032; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-14D457A299BC,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка участка ярославль"" (комплексное благоустройство участка) and ""стоимость реализации проекта обустройства частного участка в ярославской области компании"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:8,service_landing:2]; stored queries Q000006/Q000033; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-5066F422331D,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка участка ярославль"" (комплексное благоустройство участка) and ""цены на работу по благоустройству"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:9,service_landing:1]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[article_guide:1,marketplace_directory:2,service_landing:5,topic_landing:2];right[marketplace_directory:9,service_landing:1]; stored queries Q000006/Q000035; shared URLs=https://avito.ru/yaroslavl/predlozheniya_uslug/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-C5A7E9DF40BC,separate_destinations,reviewed,codex-2026-08-28,"different need after independent review: ""благоустройство участка ярославская область"" targets комплексное благоустройство участка, while ""заказать дизайн проект участка"" targets ландшафтное проектирование и дизайн; overlap=3/10; formats=left[marketplace_directory:2,service_landing:5,topic_landing:3];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored top-10 result types and query wording require separate canonical answers.","overlap=3/10; formats=left[marketplace_directory:2,service_landing:5,topic_landing:3];right[marketplace_directory:4,service_landing:2,topic_landing:4]; stored queries Q000007/Q000011; shared URLs=https://avito.ru/yaroslavskaya_oblast/predlozheniya_uslug/|https://om-garden.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/."
PAIR-9671F9D99039,same_destination,reviewed,codex-2026-08-28,"same need after independent review: ""благоустройство участка ярославская область"" (комплексное благоустройство участка) and ""ландшафтная компания эксперты"" (комплексное благоустройство участка) converge on one canonical answer; overlap=2/10; formats=left[marketplace_directory:2,service_landing:5,topic_landing:3];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored top-10 result types and query wording support one service page.","overlap=2/10; formats=left[marketplace_directory:2,service_landing:5,topic_landing:3];right[local_directory:1,marketplace_directory:2,service_landing:1,topic_landing:6]; stored queries Q000007/Q000017; shared URLs=https://exp76.ru/|https://uslugi.yandex.ru/16-yaroslavl/category/."
